"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia ICA",,,,,,,
"Viviendas particulares (001)",74305,9392,3873,4630,49046,3896,3468
"Ocupantes presentes (002)",317159,34488,15457,19421,219722,14151,13920
"Casa independiente",,,,,,,
"Viviendas particulares (004)",64426,7080,3047,4238,44159,3081,2821
"Ocupantes presentes (005)",281423,27469,12382,17986,200184,11813,11589
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1490,807,,155,443,42,43
"Ocupantes presentes (008)",4968,2433,,537,1669,149,180
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",1045,627,,44,311,25,38
"Ocupantes presentes (011)",3538,1900,,176,1229,83,150
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",809,419,,23,288,27,52
"Ocupantes presentes (014)",2576,1171,,76,1074,96,159
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1095,44,43,14,579,383,32
"Ocupantes presentes (017)",3452,127,160,42,2126,870,127
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",4865,240,783,127,2977,280,458
"Ocupantes presentes (020)",19551,938,2915,524,12544,986,1644
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",134,37,,,43,39,15
"Ocupantes presentes (023)",374,91,,,142,100,41
"Otro tipo",,,,,,,
"Viviendas particulares (025)",441,138,,29,246,19,9
"Ocupantes presentes (026)",1277,359,,80,754,54,30
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",67219,9049,3302,4514,44728,2396,3230
"Ocupantes presentes (029)",290530,33319,13058,18955,202823,9346,13029
"Casa independiente",,,,,,,
"Viviendas particulares (031)",58458,6786,2519,4136,40424,1976,2617
"Ocupantes presentes (032)",258311,26442,10143,17562,185421,7911,10832
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1490,807,,155,443,42,43
"Ocupantes presentes (035)",4968,2433,,537,1669,149,180
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",1045,627,,44,311,25,38
"Ocupantes presentes (038)",3538,1900,,176,1229,83,150
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",809,419,,23,288,27,52
"Ocupantes presentes (041)",2576,1171,,76,1074,96,159
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",4865,240,783,127,2977,280,458
"Ocupantes presentes (047)",19551,938,2915,524,12544,986,1644
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",122,33,,,42,33,14
"Ocupantes presentes (050)",336,77,,,137,84,38
"Otro tipo",,,,,,,
"Viviendas particulares (052)",430,137,,29,243,13,8
"Ocupantes presentes (053)",1250,358,,80,749,37,26
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",7086,343,571,116,4318,1500,238
"Ocupantes presentes (056)",26629,1169,2399,466,16899,4805,891
"Casa independiente",,,,,,,
"Viviendas particulares (058)",5968,294,528,102,3735,1105,204
"Ocupantes presentes (059)",23112,1027,2239,424,14763,3902,757
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1095,44,43,14,579,383,32
"Ocupantes presentes (071)",3452,127,160,42,2126,870,127
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",12,4,,,1,6,1
"Ocupantes presentes (077)",38,14,,,5,16,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",11,1,,,3,6,1
"Ocupantes presentes (080)",27,1,,,5,17,4
