"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PASCO (000)",56204,53012,18821,7510,7186,5229,6812,3937,3517,3192
"Católica (001)",44078,41523,15019,6108,5790,4104,5176,2885,2441,2555
"Cristiana/Evangélica (002)",10911,10391,3328,1222,1247,1037,1533,996,1028,520
"Otra (003)",732,654,277,98,85,58,70,37,29,78
"Ninguna (004)",483,444,197,82,64,30,33,19,19,39
,,,,,,,,,,
"URBANA (006)",43667,41172,14517,6156,5778,4071,5231,2957,2462,2495
"Católica (007)",34238,32257,11501,5032,4675,3180,3990,2164,1715,1981
"Cristiana/Evangélica (008)",8314,7908,2584,959,960,810,1145,744,706,406
"Otra (009)",696,622,261,94,84,55,68,33,27,74
"Ninguna (010)",419,385,171,71,59,26,28,16,14,34
,,,,,,,,,,
"RURAL (012)",12537,11840,4304,1354,1408,1158,1581,980,1055,697
"Católica (013)",9840,9266,3518,1076,1115,924,1186,721,726,574
"Cristiana/Evangélica (014)",2597,2483,744,263,287,227,388,252,322,114
"Otra (015)",36,32,16,4,1,3,2,4,2,4
"Ninguna (016)",64,59,26,11,5,4,5,3,5,5
