"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ANTA (000)",40096,7609,6761,6497,6527,4959,7743
"Católica (001)",36326,6914,6066,5780,5939,4486,7141
"Cristiana/Evangélica (002)",2945,557,520,563,463,365,477
"Otra (003)",563,100,100,99,88,90,86
"Ninguna (004)",262,38,75,55,37,18,39
"Hombres (006)",20015,4007,3549,3153,3164,2482,3660
"Católica (007)",18187,3653,3190,2808,2896,2254,3386
"Cristiana/Evangélica (008)",1380,274,257,263,200,173,213
"Otra (009)",286,55,57,46,42,45,41
"Ninguna (010)",162,25,45,36,26,10,20
"Mujeres (012)",20081,3602,3212,3344,3363,2477,4083
"Católica (013)",18139,3261,2876,2972,3043,2232,3755
"Cristiana/Evangélica (014)",1565,283,263,300,263,192,264
"Otra (015)",277,45,43,53,46,45,45
"Ninguna (016)",100,13,30,19,11,8,19
,,,,,,,
"URBANA (018)",14344,2690,2459,2497,2399,1699,2600
"Católica (019)",13151,2452,2223,2278,2222,1561,2415
"Cristiana/Evangélica (020)",780,158,145,136,127,88,126
"Otra (021)",266,53,47,53,36,40,37
"Ninguna (022)",147,27,44,30,14,10,22
"Hombres (024)",7039,1413,1269,1171,1133,861,1192
"Católica (025)",6454,1283,1147,1072,1052,786,1114
"Cristiana/Evangélica (026)",358,81,69,55,56,50,47
"Otra (027)",135,31,25,25,16,18,20
"Ninguna (028)",92,18,28,19,9,7,11
"Mujeres (030)",7305,1277,1190,1326,1266,838,1408
"Católica (031)",6697,1169,1076,1206,1170,775,1301
"Cristiana/Evangélica (032)",422,77,76,81,71,38,79
"Otra (033)",131,22,22,28,20,22,17
"Ninguna (034)",55,9,16,11,5,3,11
,,,,,,,
"RURAL (036)",25752,4919,4302,4000,4128,3260,5143
"Católica (037)",23175,4462,3843,3502,3717,2925,4726
"Cristiana/Evangélica (038)",2165,399,375,427,336,277,351
"Otra (039)",297,47,53,46,52,50,49
"Ninguna (040)",115,11,31,25,23,8,17
"Hombres (042)",12976,2594,2280,1982,2031,1621,2468
"Católica (043)",11733,2370,2043,1736,1844,1468,2272
"Cristiana/Evangélica (044)",1022,193,188,208,144,123,166
"Otra (045)",151,24,32,21,26,27,21
"Ninguna (046)",70,7,17,17,17,3,9
"Mujeres (048)",12776,2325,2022,2018,2097,1639,2675
"Católica (049)",11442,2092,1800,1766,1873,1457,2454
"Cristiana/Evangélica (050)",1143,206,187,219,192,154,185
"Otra (051)",146,23,21,25,26,23,28
"Ninguna (052)",45,4,14,8,6,5,8
