"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CORONGO (000)",2196,18,872,721,249,83,37,14,1,,201
"Sin Nivel (001)",580,9,260,161,59,18,11,4,,,58
"Educación Inicial (002)",2,,,1,,,,,,,1
"Primaria (003)",983,8,421,354,95,28,16,7,,,54
"Secundaria (004)",383,1,155,125,31,15,3,,1,,52
"Sup. no Univ. Incompleta (005)",57,,12,20,14,3,,,,,8
"Sup. no Univ. Completa (006)",88,,9,27,28,8,5,2,,,9
"Sup. Univ. Incompleta (007)",38,,9,14,7,1,,,,,7
"Sup. Univ. Completa (008)",65,,6,19,15,10,2,1,,,12
,,,,,,,,,,,
"URBANA (010)",1172,9,396,369,173,57,27,11,1,,129
"Sin Nivel (011)",251,4,93,63,40,9,7,4,,,31
"Primaria (013)",485,5,191,164,56,21,10,5,,,33
"Secundaria (014)",225,,81,73,22,10,3,,1,,35
"Sup. no Univ. Incompleta (015)",48,,11,17,13,2,,,,,5
"Sup. no Univ. Completa (016)",73,,6,22,22,7,5,2,,,9
"Sup. Univ. Incompleta (017)",33,,8,12,7,1,,,,,5
"Sup. Univ. Completa (018)",57,,6,18,13,7,2,,,,11
,,,,,,,,,,,
"RURAL (020)",1024,9,476,352,76,26,10,3,,,72
"Sin Nivel (021)",329,5,167,98,19,9,4,,,,27
"Educación Inicial (022)",2,,,1,,,,,,,1
"Primaria (023)",498,3,230,190,39,7,6,2,,,21
"Secundaria (024)",158,1,74,52,9,5,,,,,17
"Sup. no Univ. Incompleta (025)",9,,1,3,1,1,,,,,3
"Sup. no Univ. Completa (026)",15,,3,5,6,1,,,,,
"Sup. Univ. Incompleta (027)",5,,1,2,,,,,,,2
"Sup. Univ. Completa (028)",8,,,1,2,3,,1,,,1
