"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TRUJILLO (000)",768445,74382,172336,51643,475619
"Quechua (001)",1489,105,322,128,961
"Aymara (002)",274,27,80,50,128
"Asháninka (003)",85,18,25,27,28
"Otra lengua nativa (004)",984,108,154,68,669
"Castellano (005)",764655,74026,171626,51229,473239
"Idioma Extranjero (006)",403,11,51,124,221
"Es Sordomudo/a (007)",555,87,78,17,373
"Hombres (009)",370352,33478,81585,27821,230444
"Quechua (010)",773,43,190,88,469
"Aymara (011)",147,16,41,26,69
"Asháninka (012)",45,11,13,13,14
"Otra lengua nativa (013)",466,48,76,33,318
"Castellano (014)",368399,33300,81193,27577,229265
"Idioma Extranjero (015)",212,6,29,73,107
"Es Sordomudo/a (016)",310,54,43,11,202
"Mujeres (018)",398093,40904,90751,23822,245175
"Quechua (019)",716,62,132,40,492
"Aymara (020)",127,11,39,24,59
"Asháninka (021)",40,7,12,14,14
"Otra lengua nativa (022)",518,60,78,35,351
"Castellano (023)",396256,40726,90433,23652,243974
"Idioma Extranjero (024)",191,5,22,51,114
"Es Sordomudo/a (025)",245,33,35,6,171
,,,,,
"URBANA (027)",750023,71194,169949,51154,463244
"Quechua (028)",1478,103,322,127,952
"Aymara (029)",274,27,80,50,128
"Asháninka (030)",84,17,25,27,28
"Otra lengua nativa (031)",982,107,154,67,668
"Castellano (032)",746267,70848,169241,50743,460885
"Idioma Extranjero (033)",402,11,51,124,220
"Es Sordomudo/a (034)",536,81,76,16,363
"Hombres (036)",360828,31995,80307,27482,224012
"Quechua (037)",766,41,190,87,464
"Aymara (038)",147,16,41,26,69
"Asháninka (039)",44,10,13,13,14
"Otra lengua nativa (040)",465,47,76,32,318
"Castellano (041)",358895,31824,79916,27241,222844
"Idioma Extranjero (042)",212,6,29,73,107
"Es Sordomudo/a (043)",299,51,42,10,196
"Mujeres (045)",389195,39199,89642,23672,239232
"Quechua (046)",712,62,132,40,488
"Aymara (047)",127,11,39,24,59
"Asháninka (048)",40,7,12,14,14
"Otra lengua nativa (049)",517,60,78,35,350
"Castellano (050)",387372,39024,89325,23502,238041
"Idioma Extranjero (051)",190,5,22,51,113
"Es Sordomudo/a (052)",237,30,34,6,167
,,,,,
"RURAL (054)",18422,3188,2387,489,12375
"Quechua (055)",11,2,,1,9
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",2,1,,1,1
"Castellano (059)",18388,3178,2385,486,12354
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",19,6,2,1,10
"Hombres (063)",9524,1483,1278,339,6432
"Quechua (064)",7,2,,1,5
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",1,1,,1,
"Castellano (068)",9504,1476,1277,336,6421
"Es Sordomudo/a (070)",11,3,1,1,6
"Mujeres (072)",8898,1705,1109,150,5943
"Quechua (073)",4,,,,4
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",8884,1702,1108,150,5933
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",8,3,1,,4
