"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia JORGE BASADRE (000)",5718,1527,2371,984,178,426,85,147
"Agric., ganadería, caza y silvicultura (001)",1646,10,510,617,142,367,,
"Pesca (002)",22,,4,18,,,,
"Explotación de minas y canteras (003)",526,202,316,3,4,1,,
"Industrias manufactureras (004)",189,14,92,66,6,11,,
"Suministro de electricidad, gas y agua (005)",10,5,5,,,,,
"Construcción (006)",342,56,270,14,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",252,32,70,126,6,18,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",98,15,69,8,2,4,,
"Comercio al por mayor (009)",8,2,,6,,,,
"Comercio al por menor (010)",146,15,1,112,4,14,,
"Hoteles y restaurantes (011)",184,63,29,65,11,16,,
"Trans., almac. y comunicaciones (012)",138,46,65,23,1,3,,
"Intermediación financiera (013)",7,7,,,,,,
"Activid.inmobil., empres. y alquileres (014)",138,89,38,10,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1633,706,927,,,,,
"Enseñanza (016)",142,127,1,13,,1,,
"Servicios sociales y de salud (017)",93,78,6,9,,,,
"Otras activ. serv.comun.soc y personales (018)",41,23,5,11,2,,,
"Hogares privados con servicio doméstico (019)",85,,,,,,85,
"Actividad economica no especificada (021)",123,69,33,9,3,9,,
"Desocupado (022)",147,,,,,,,147
"Hombres (023)",4125,1095,2070,593,128,159,8,72
"Agric., ganadería, caza y silvicultura (024)",1017,9,339,429,104,136,,
"Pesca (025)",21,,3,18,,,,
"Explotación de minas y canteras (026)",502,181,313,3,4,1,,
"Industrias manufactureras (027)",146,12,87,39,5,3,,
"Suministro de electricidad, gas y agua (028)",10,5,5,,,,,
"Construcción (029)",328,50,263,13,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",136,21,69,32,5,9,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",96,15,68,8,2,3,,
"Comercio al por mayor (032)",2,1,,1,,,,
"Comercio al por menor (033)",38,5,1,23,3,6,,
"Hoteles y restaurantes (034)",73,37,18,8,5,5,,
"Trans., almac. y comunicaciones (035)",123,32,65,22,1,3,,
"Intermediación financiera (036)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (037)",101,58,35,7,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1389,545,844,,,,,
"Enseñanza (039)",50,46,,4,,,,
"Servicios sociales y de salud (040)",43,36,1,6,,,,
"Otras activ. serv.comun.soc y personales (041)",24,12,4,8,,,,
"Hogares privados con servicio doméstico (042)",8,,,,,,8,
"Actividad economica no especificada (044)",80,49,24,4,1,2,,
"Desocupado (045)",72,,,,,,,72
"Mujeres (046)",1593,432,301,391,50,267,77,75
"Agric., ganadería, caza y silvicultura (047)",629,1,171,188,38,231,,
"Pesca (048)",1,,1,,,,,
"Explotación de minas y canteras (049)",24,21,3,,,,,
"Industrias manufactureras (050)",43,2,5,27,1,8,,
"Construcción (052)",14,6,7,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",116,11,1,94,1,9,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,,1,,,1,,
"Comercio al por mayor (055)",6,1,,5,,,,
"Comercio al por menor (056)",108,10,,89,1,8,,
"Hoteles y restaurantes (057)",111,26,11,57,6,11,,
"Trans., almac. y comunicaciones (058)",15,14,,1,,,,
"Intermediación financiera (059)",5,5,,,,,,
"Activid.inmobil., empres. y alquileres (060)",37,31,3,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",244,161,83,,,,,
"Enseñanza (062)",92,81,1,9,,1,,
"Servicios sociales y de salud (063)",50,42,5,3,,,,
"Otras activ. serv.comun.soc y personales (064)",17,11,1,3,2,,,
"Hogares privados con servicio doméstico (065)",77,,,,,,77,
"Actividad economica no especificada (067)",43,20,9,5,2,7,,
"Desocupado (068)",75,,,,,,,75
,,,,,,,,
"URBANA (069)",3455,1264,1488,384,37,113,77,92
"Agric., ganadería, caza y silvicultura (070)",438,4,171,163,12,88,,
"Pesca (071)",2,,2,,,,,
"Explotación de minas y canteras (072)",525,202,315,3,4,1,,
"Industrias manufactureras (073)",119,13,73,29,4,,,
"Suministro de electricidad, gas y agua (074)",7,3,4,,,,,
"Construcción (075)",259,43,204,11,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",179,25,67,78,2,7,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",85,13,66,5,,1,,
"Comercio al por mayor (078)",6,2,,4,,,,
"Comercio al por menor (079)",88,10,1,69,2,6,,
"Hoteles y restaurantes (080)",144,55,24,47,8,10,,
"Trans., almac. y comunicaciones (081)",104,36,55,10,1,2,,
"Intermediación financiera (082)",6,6,,,,,,
"Activid.inmobil., empres. y alquileres (083)",116,80,27,8,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1059,542,517,,,,,
"Enseñanza (085)",121,108,1,12,,,,
"Servicios sociales y de salud (086)",79,70,3,6,,,,
"Otras activ. serv.comun.soc y personales (087)",36,20,5,9,2,,,
"Hogares privados con servicio doméstico (088)",77,,,,,,77,
"Actividad economica no especificada (090)",92,57,20,8,2,5,,
"Desocupado (091)",92,,,,,,,92
"Hombres (092)",2601,936,1358,190,25,39,4,49
"Agric., ganadería, caza y silvicultura (093)",253,4,108,108,8,25,,
"Pesca (094)",1,,1,,,,,
"Explotación de minas y canteras (095)",501,181,312,3,4,1,,
"Industrias manufactureras (096)",102,11,72,16,3,,,
"Suministro de electricidad, gas y agua (097)",7,3,4,,,,,
"Construcción (098)",248,37,199,11,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",111,19,66,19,1,6,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",84,13,65,5,,1,,
"Comercio al por mayor (101)",1,1,,,,,,
"Comercio al por menor (102)",26,5,1,14,1,5,,
"Hoteles y restaurantes (103)",63,36,17,1,5,4,,
"Trans., almac. y comunicaciones (104)",90,23,55,9,1,2,,
"Intermediación financiera (105)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (106)",82,52,24,5,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",918,437,481,,,,,
"Enseñanza (108)",46,42,,4,,,,
"Servicios sociales y de salud (109)",39,35,1,3,,,,
"Otras activ. serv.comun.soc y personales (110)",22,10,4,8,,,,
"Hogares privados con servicio doméstico (111)",4,,,,,,4,
"Actividad economica no especificada (113)",63,44,14,3,1,1,,
"Desocupado (114)",49,,,,,,,49
"Mujeres (115)",854,328,130,194,12,74,73,43
"Agric., ganadería, caza y silvicultura (116)",185,,63,55,4,63,,
"Pesca (117)",1,,1,,,,,
"Explotación de minas y canteras (118)",24,21,3,,,,,
"Industrias manufactureras (119)",17,2,1,13,1,,,
"Construcción (121)",11,6,5,,,,,
