"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SANTA (000)",262109,255118,6991
"Hombres (001)",129495,126589,2906
"Mujeres (002)",132614,128529,4085
"De 18 a 29 años (003)",84035,80534,3501
"Hombres (004)",41910,40149,1761
"Mujeres (005)",42125,40385,1740
"De 30 a 44 años (006)",86112,85138,974
"Hombres (007)",42082,41639,443
"Mujeres (008)",44030,43499,531
"De 45 a 64 años (009)",64741,63882,859
"Hombres (010)",31435,31110,325
"Mujeres (011)",33306,32772,534
"De 65 y más años (012)",27221,25564,1657
"Hombres (013)",14068,13691,377
"Mujeres (014)",13153,11873,1280
,,,
"URBANA (015)",246377,240361,6016
"Hombres (016)",120997,118429,2568
"Mujeres (017)",125380,121932,3448
"De 18 a 29 años (018)",78970,75828,3142
"Hombres (019)",39170,37586,1584
"Mujeres (020)",39800,38242,1558
"De 30 a 44 años (021)",81332,80504,828
"Hombres (022)",39489,39089,400
"Mujeres (023)",41843,41415,428
"De 45 a 64 años (024)",60883,60204,679
"Hombres (025)",29334,29064,270
"Mujeres (026)",31549,31140,409
"De 65 y más años (027)",25192,23825,1367
"Hombres (028)",13004,12690,314
"Mujeres (029)",12188,11135,1053
,,,
"RURAL (030)",15732,14757,975
"Hombres (031)",8498,8160,338
"Mujeres (032)",7234,6597,637
"De 18 a 29 años (033)",5065,4706,359
"Hombres (034)",2740,2563,177
"Mujeres (035)",2325,2143,182
"De 30 a 44 años (036)",4780,4634,146
"Hombres (037)",2593,2550,43
"Mujeres (038)",2187,2084,103
"De 45 a 64 años (039)",3858,3678,180
"Hombres (040)",2101,2046,55
"Mujeres (041)",1757,1632,125
"De 65 y más años (042)",2029,1739,290
"Hombres (043)",1064,1001,63
"Mujeres (044)",965,738,227
