"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",38486,4839,9475,9463,6594,3706,4409
"Católica (001)",34986,4478,8517,8622,6046,3313,4010
"Cristiana/Evangélica (002)",1733,172,415,423,280,204,239
"Otra (003)",1352,141,394,312,211,161,133
"Ninguna (004)",415,48,149,106,57,28,27
"Hombres (006)",20670,2399,4912,5258,3749,2095,2257
"Católica (007)",18734,2238,4403,4741,3438,1870,2044
"Cristiana/Evangélica (008)",936,70,214,254,155,113,130
"Otra (009)",751,68,212,186,119,98,68
"Ninguna (010)",249,23,83,77,37,14,15
"Mujeres (012)",17816,2440,4563,4205,2845,1611,2152
"Católica (013)",16252,2240,4114,3881,2608,1443,1966
"Cristiana/Evangélica (014)",797,102,201,169,125,91,109
"Otra (015)",601,73,182,126,92,63,65
"Ninguna (016)",166,25,66,29,20,14,12
,,,,,,,
"URBANA (018)",25803,3114,6669,6863,4691,2358,2108
"Católica (019)",23200,2841,5914,6226,4261,2079,1879
"Cristiana/Evangélica (020)",1241,129,318,311,207,143,133
"Otra (021)",1028,111,317,236,170,114,80
"Ninguna (022)",334,33,120,90,53,22,16
"Hombres (024)",14080,1540,3422,3835,2737,1403,1143
"Católica (025)",12645,1419,3035,3447,2491,1239,1014
"Cristiana/Evangélica (026)",666,52,158,184,116,79,77
"Otra (027)",567,55,163,139,96,73,41
"Ninguna (028)",202,14,66,65,34,12,11
"Mujeres (030)",11723,1574,3247,3028,1954,955,965
"Católica (031)",10555,1422,2879,2779,1770,840,865
"Cristiana/Evangélica (032)",575,77,160,127,91,64,56
"Otra (033)",461,56,154,97,74,41,39
"Ninguna (034)",132,19,54,25,19,10,5
,,,,,,,
"RURAL (036)",12683,1725,2806,2600,1903,1348,2301
"Católica (037)",11786,1637,2603,2396,1785,1234,2131
"Cristiana/Evangélica (038)",492,43,97,112,73,61,106
"Otra (039)",324,30,77,76,41,47,53
"Ninguna (040)",81,15,29,16,4,6,11
"Hombres (042)",6590,859,1490,1423,1012,692,1114
"Católica (043)",6089,819,1368,1294,947,631,1030
"Cristiana/Evangélica (044)",270,18,56,70,39,34,53
"Otra (045)",184,13,49,47,23,25,27
"Ninguna (046)",47,9,17,12,3,2,4
"Mujeres (048)",6093,866,1316,1177,891,656,1187
"Católica (049)",5697,818,1235,1102,838,603,1101
"Cristiana/Evangélica (050)",222,25,41,42,34,27,53
"Otra (051)",140,17,28,29,18,22,26
"Ninguna (052)",34,6,12,4,1,4,7
