"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PUNO (000)",149984,146860,3124
"Hombres (001)",72226,70899,1327
"Mujeres (002)",77758,75961,1797
"De 18 a 29 años (003)",49263,48136,1127
"Hombres (004)",24214,23596,618
"Mujeres (005)",25049,24540,509
"De 30 a 44 años (006)",45025,44677,348
"Hombres (007)",21292,21111,181
"Mujeres (008)",23733,23566,167
"De 45 a 64 años (009)",37548,37078,470
"Hombres (010)",18033,17843,190
"Mujeres (011)",19515,19235,280
"De 65 y más años (012)",18148,16969,1179
"Hombres (013)",8687,8349,338
"Mujeres (014)",9461,8620,841
,,,
"URBANA (015)",90101,88392,1709
"Hombres (016)",43308,42516,792
"Mujeres (017)",46793,45876,917
"De 18 a 29 años (018)",32755,32003,752
"Hombres (019)",16124,15711,413
"Mujeres (020)",16631,16292,339
"De 30 a 44 años (021)",29538,29324,214
"Hombres (022)",13753,13634,119
"Mujeres (023)",15785,15690,95
"De 45 a 64 años (024)",21285,20947,338
"Hombres (025)",10396,10251,145
"Mujeres (026)",10889,10696,193
"De 65 y más años (027)",6523,6118,405
"Hombres (028)",3035,2920,115
"Mujeres (029)",3488,3198,290
,,,
"RURAL (030)",59883,58468,1415
"Hombres (031)",28918,28383,535
"Mujeres (032)",30965,30085,880
"De 18 a 29 años (033)",16508,16133,375
"Hombres (034)",8090,7885,205
"Mujeres (035)",8418,8248,170
"De 30 a 44 años (036)",15487,15353,134
"Hombres (037)",7539,7477,62
"Mujeres (038)",7948,7876,72
"De 45 a 64 años (039)",16263,16131,132
"Hombres (040)",7637,7592,45
"Mujeres (041)",8626,8539,87
"De 65 y más años (042)",11625,10851,774
"Hombres (043)",5652,5429,223
"Mujeres (044)",5973,5422,551
