"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHINCHA (000)",56981,579,19243,17889,6820,2423,1094,280,42,,8611
"Catolica (001)",49181,465,16324,15469,6030,2146,948,249,36,,7514
"Cristiana / Evangelica (002)",5797,90,2235,1812,567,210,102,26,5,,750
"Otra (003)",1439,14,485,434,169,49,35,5,1,,247
"Ninguna (004)",564,10,199,174,54,18,9,,,,100
,,,,,,,,,,,
"URBANA (006)",50825,485,16942,16024,6222,2198,980,252,39,,7683
"Catolica (007)",43649,382,14299,13768,5485,1948,844,225,33,,6665
"Cristiana / Evangelica (008)",5273,79,2005,1677,521,186,94,22,5,,684
"Otra (009)",1379,14,460,415,165,46,34,5,1,,239
"Ninguna (010)",524,10,178,164,51,18,8,,,,95
,,,,,,,,,,,
"RURAL (012)",6156,94,2301,1865,598,225,114,28,3,,928
"Catolica (013)",5532,83,2025,1701,545,198,104,24,3,,849
"Cristiana / Evangelica (014)",524,11,230,135,46,24,8,4,,,66
"Otra (015)",60,,25,19,4,3,1,,,,8
"Ninguna (016)",40,,21,10,3,,1,,,,5
