"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SATIPO (000)",41359,1316,20135,11182,2867,908,423,137,18,,4373
"Sin Nivel (001)",7873,411,3828,1894,558,211,149,61,10,,751
"Educación Inicial (002)",73,7,30,13,7,,,,,,16
"Primaria (003)",17177,687,9529,4181,866,278,135,48,5,,1448
"Secundaria (004)",12786,197,6186,3889,729,179,77,17,2,,1510
"Sup. no Univ. Incompleta (005)",809,6,211,316,99,18,4,1,,,154
"Sup. no Univ. Completa (006)",978,4,134,353,239,64,17,5,1,,161
"Sup. Univ. Incompleta (007)",479,3,99,184,67,18,5,1,,,102
"Sup. Univ. Completa (008)",1184,1,118,352,302,140,36,4,,,231
,,,,,,,,,,,
"URBANA (010)",12807,227,5358,3756,1260,422,196,58,7,,1523
"Sin Nivel (011)",1230,47,556,306,96,40,39,19,2,,125
"Educación Inicial (012)",26,1,11,3,3,,,,,,8
"Primaria (013)",4027,102,2117,1059,270,85,61,22,2,,309
"Secundaria (014)",5032,65,2305,1545,370,103,47,7,2,,588
"Sup. no Univ. Incompleta (015)",515,6,130,196,68,15,1,1,,,98
"Sup. no Univ. Completa (016)",731,4,90,263,170,54,14,5,1,,130
"Sup. Univ. Incompleta (017)",352,2,73,130,47,14,5,1,,,80
"Sup. Univ. Completa (018)",894,,76,254,236,111,29,3,,,185
,,,,,,,,,,,
"RURAL (020)",28552,1089,14777,7426,1607,486,227,79,11,,2850
"Sin Nivel (021)",6643,364,3272,1588,462,171,110,42,8,,626
"Educación Inicial (022)",47,6,19,10,4,,,,,,8
"Primaria (023)",13150,585,7412,3122,596,193,74,26,3,,1139
"Secundaria (024)",7754,132,3881,2344,359,76,30,10,,,922
"Sup. no Univ. Incompleta (025)",294,,81,120,31,3,3,,,,56
"Sup. no Univ. Completa (026)",247,,44,90,69,10,3,,,,31
"Sup. Univ. Incompleta (027)",127,1,26,54,20,4,,,,,22
"Sup. Univ. Completa (028)",290,1,42,98,66,29,7,1,,,46
