"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CORONEL PORTILLO (000)",5427,4199,1228
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",967,966,1
"Casa pensión (003)",90,90,
"Hospital, clinica (004)",510,509,1
"Cárcel, centro de readaptación social (005)",1084,36,1048
"Aldea infantil, orfelinato, etc (007)",66,66,
"Otro (008)",1814,1678,136
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",896,854,42
