"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia EL COLLAO",,,
"Viviendas particulares (001)",5398,5214,184
"Ocupantes presentes (002)",18343,17770,573
"Casa independiente",,,
"Viviendas particulares (004)",5319,5139,180
"Ocupantes presentes (005)",18047,17486,561
"Departamento en edificio",,,
"Viviendas particulares (007)",16,16,
"Ocupantes presentes (008)",50,50,
"Vivienda en quinta",,,
"Viviendas particulares (010)",23,22,1
"Ocupantes presentes (011)",101,97,4
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",27,27,
"Ocupantes presentes (014)",97,97,
"Choza o cabaña",,,
"Viviendas particulares (016)",1,1,
"Ocupantes presentes (017)",2,2,
"Vivienda improvisada",,,
"Viviendas particulares (019)",4,3,1
"Ocupantes presentes (020)",22,18,4
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",7,5,2
"Ocupantes presentes (023)",23,19,4
"Otro tipo",,,
"Viviendas particulares (025)",1,1,
"Ocupantes presentes (026)",1,1,
,,,
URBANA,,,
"Viviendas particulares (028)",4822,4666,156
"Ocupantes presentes (029)",16726,16250,476
"Casa independiente",,,
"Viviendas particulares (031)",4746,4594,152
"Ocupantes presentes (032)",16434,15970,464
"Departamento en edificio",,,
"Viviendas particulares (034)",16,16,
"Ocupantes presentes (035)",50,50,
"Vivienda en quinta",,,
"Viviendas particulares (037)",23,22,1
"Ocupantes presentes (038)",101,97,4
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",27,27,
"Ocupantes presentes (041)",97,97,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",4,3,1
"Ocupantes presentes (047)",22,18,4
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",6,4,2
"Ocupantes presentes (050)",22,18,4
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",576,548,28
"Ocupantes presentes (056)",1617,1520,97
"Casa independiente",,,
"Viviendas particulares (058)",573,545,28
"Ocupantes presentes (059)",1613,1516,97
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",1,1,
"Ocupantes presentes (071)",2,2,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",1,1,
"Otro tipo",,,
"Viviendas particulares (079)",1,1,
"Ocupantes presentes (080)",1,1,
