"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTABAMBA (000)",4079,599,5,1447,1315,156,220,78,259
"Empleado (001)",503,4,,8,63,34,144,40,210
"Obrero (002)",1207,145,,446,520,44,24,15,13
"Trabajador independiente (003)",1306,208,2,546,411,57,36,15,31
"Empleador o patrono (004)",14,2,,2,6,1,2,,1
"Trabajador familiar no remunerado (005)",1026,237,3,434,310,18,13,8,3
"Trabajador del hogar (006)",23,3,,11,5,2,1,,1
"Hombres (008)",2650,208,3,965,987,110,147,61,169
"Empleado (009)",331,3,,4,51,26,87,30,130
"Obrero (010)",861,46,,318,415,33,22,14,13
"Trabajador independiente (011)",907,94,2,409,305,38,27,10,22
"Empleador o patrono (012)",13,2,,1,6,1,2,,1
"Trabajador familiar no remunerado (013)",536,63,1,232,210,12,8,7,3
"Trabajador del hogar (014)",2,,,1,,,1,,
"Mujeres (016)",1429,391,2,482,328,46,73,17,90
"Empleado (017)",172,1,,4,12,8,57,10,80
"Obrero (018)",346,99,,128,105,11,2,1,
"Trabajador independiente (019)",399,114,,137,106,19,9,5,9
"Empleador o patrono (020)",1,,,1,,,,,
"Trabajador familiar no remunerado (021)",490,174,2,202,100,6,5,1,
"Trabajador del hogar (022)",21,3,,10,5,2,,,1
,,,,,,,,,
"URBANA (024)",2629,252,3,788,970,127,190,66,233
"Empleado (025)",451,4,,8,55,30,126,37,191
"Obrero (026)",908,100,,317,417,37,16,10,11
"Trabajador independiente (027)",725,68,1,251,286,48,32,11,28
"Empleador o patrono (028)",8,1,,1,3,,2,,1
"Trabajador familiar no remunerado (029)",517,76,2,201,205,10,13,8,2
"Trabajador del hogar (030)",20,3,,10,4,2,1,,
"Hombres (032)",1639,60,2,466,702,88,122,50,149
"Empleado (033)",289,3,,4,45,22,72,27,116
"Obrero (034)",605,21,,204,318,28,14,9,11
"Trabajador independiente (035)",468,17,1,167,200,32,25,7,19
"Empleador o patrono (036)",7,1,,,3,,2,,1
"Trabajador familiar no remunerado (037)",268,18,1,90,136,6,8,7,2
"Trabajador del hogar (038)",2,,,1,,,1,,
"Mujeres (040)",990,192,1,322,268,39,68,16,84
"Empleado (041)",162,1,,4,10,8,54,10,75
"Obrero (042)",303,79,,113,99,9,2,1,
"Trabajador independiente (043)",257,51,,84,86,16,7,4,9
"Empleador o patrono (044)",1,,,1,,,,,
"Trabajador familiar no remunerado (045)",249,58,1,111,69,4,5,1,
"Trabajador del hogar (046)",18,3,,9,4,2,,,
,,,,,,,,,
"RURAL (048)",1450,347,2,659,345,29,30,12,26
"Empleado (049)",52,,,,8,4,18,3,19
"Obrero (050)",299,45,,129,103,7,8,5,2
"Trabajador independiente (051)",581,140,1,295,125,9,4,4,3
"Empleador o patrono (052)",6,1,,1,3,1,,,
"Trabajador familiar no remunerado (053)",509,161,1,233,105,8,,,1
"Trabajador del hogar (054)",3,,,1,1,,,,1
"Hombres (056)",1011,148,1,499,285,22,25,11,20
"Empleado (057)",42,,,,6,4,15,3,14
"Obrero (058)",256,25,,114,97,5,8,5,2
"Trabajador independiente (059)",439,77,1,242,105,6,2,3,3
"Empleador o patrono (060)",6,1,,1,3,1,,,
"Trabajador familiar no remunerado (061)",268,45,,142,74,6,,,1
"Mujeres (064)",439,199,1,160,60,7,5,1,6
"Empleado (065)",10,,,,2,,3,,5
"Obrero (066)",43,20,,15,6,2,,,
"Trabajador independiente (067)",142,63,,53,20,3,2,1,
"Trabajador familiar no remunerado (069)",241,116,1,91,31,2,,,
"Trabajador del hogar (070)",3,,,1,1,,,,1
