"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MAYNAS (000)",239340,35603,61753,60487,81497
"Asiste actualmente (001)",154787,16242,57411,51777,29357
"No asiste (002)",84553,19361,4342,8710,52140
"Hombres (004)",120711,18152,31496,30158,40905
"Asiste actualmente (005)",79551,8159,29304,26402,15686
"No asiste (006)",41160,9993,2192,3756,25219
"Mujeres (008)",118629,17451,30257,30329,40592
"Asiste actualmente (009)",75236,8083,28107,25375,13671
"No asiste (010)",43393,9368,2150,4954,26921
,,,,,
"URBANA (012)",187398,26463,45840,47557,67538
"Asiste actualmente (013)",125183,13000,43092,41900,27191
"No asiste (014)",62215,13463,2748,5657,40347
"Hombres (016)",93249,13505,23293,23266,33185
"Asiste actualmente (017)",63690,6538,21890,21010,14252
"No asiste (018)",29559,6967,1403,2256,18933
"Mujeres (020)",94149,12958,22547,24291,34353
"Asiste actualmente (021)",61493,6462,21202,20890,12939
"No asiste (022)",32656,6496,1345,3401,21414
,,,,,
"RURAL (024)",51942,9140,15913,12930,13959
"Asiste actualmente (025)",29604,3242,14319,9877,2166
"No asiste (026)",22338,5898,1594,3053,11793
"Hombres (028)",27462,4647,8203,6892,7720
"Asiste actualmente (029)",15861,1621,7414,5392,1434
"No asiste (030)",11601,3026,789,1500,6286
"Mujeres (032)",24480,4493,7710,6038,6239
"Asiste actualmente (033)",13743,1621,6905,4485,732
"No asiste (034)",10737,2872,805,1553,5507
