"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia JAUJA (000)",23099,91508,16048,63443,7051,28065
"Casa independiente (001)",22219,88468,15562,61493,6657,26975
"Departamento en edificio (002)",40,143,40,143,,
"Vivienda en quinta (003)",155,685,155,685,,
"Vivienda en casa de vecindad (004)",261,1044,261,1044,,
"Choza o cabaña (005)",391,1083,,,391,1083
"Vivienda improvisada (006)",6,20,6,20,,
"Local no dest.para hab. humana (007)",25,59,23,54,2,5
"Otro tipo (008)",2,6,1,4,1,2
