"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MARISCAL NIETO (000)",27933,24172,3761
"De 3 a 5 años (001)",3638,367,3271
"De 6 a 11 años (002)",6964,6559,405
"De 12 a 16 años (003)",6491,6459,32
"De 17 a 24 años (004)",10840,10787,53
"Hombres (005)",14203,12286,1917
"De 3 a 5 años (006)",1888,192,1696
"De 6 a 11 años (007)",3606,3421,185
"De 12 a 16 años (008)",3226,3213,13
"De 17 a 24 años (009)",5483,5460,23
"Mujeres (010)",13730,11886,1844
"De 3 a 5 años (011)",1750,175,1575
"De 6 a 11 años (012)",3358,3138,220
"De 12 a 16 años (013)",3265,3246,19
"De 17 a 24 años (014)",5357,5327,30
,,,
"URBANA (015)",24625,21334,3291
"De 3 a 5 años (016)",3207,323,2884
"De 6 a 11 años (017)",6129,5791,338
"De 12 a 16 años (018)",5770,5743,27
"De 17 a 24 años (019)",9519,9477,42
"Hombres (020)",12383,10712,1671
"De 3 a 5 años (021)",1664,174,1490
"De 6 a 11 años (022)",3154,3002,152
"De 12 a 16 años (023)",2846,2835,11
"De 17 a 24 años (024)",4719,4701,18
"Mujeres (025)",12242,10622,1620
"De 3 a 5 años (026)",1543,149,1394
"De 6 a 11 años (027)",2975,2789,186
"De 12 a 16 años (028)",2924,2908,16
"De 17 a 24 años (029)",4800,4776,24
,,,
"RURAL (030)",3308,2838,470
"De 3 a 5 años (031)",431,44,387
"De 6 a 11 años (032)",835,768,67
"De 12 a 16 años (033)",721,716,5
"De 17 a 24 años (034)",1321,1310,11
"Hombres (035)",1820,1574,246
"De 3 a 5 años (036)",224,18,206
"De 6 a 11 años (037)",452,419,33
"De 12 a 16 años (038)",380,378,2
"De 17 a 24 años (039)",764,759,5
"Mujeres (040)",1488,1264,224
"De 3 a 5 años (041)",207,26,181
"De 6 a 11 años (042)",383,349,34
"De 12 a 16 años (043)",341,338,3
"De 17 a 24 años (044)",557,551,6
