"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia JAEN (000)",42538,22348,20190
"Red pública dentro de la vivienda (001)",16597,13368,3229
"Red pública fuera de la vivienda (002)",4037,2934,1103
"Pilón de uso público (003)",634,280,354
"Camión - cisterna u otro similar (004)",49,14,35
"Pozo (005)",4603,1722,2881
"Río, acequia, manatial o similar (006)",14473,3187,11286
"Vecino (007)",894,265,629
"Otro (008)",1251,578,673
,,,
"URBANA (010)",22164,19783,2381
"Red pública dentro de la vivienda (011)",13776,12606,1170
"Red pública fuera de la vivienda (012)",3014,2814,200
"Pilón de uso público (013)",207,179,28
"Camión - cisterna u otro similar (014)",12,9,3
"Pozo (015)",1774,1540,234
"Río, acequia, manatial o similar (016)",2445,1954,491
"Vecino (017)",347,172,175
"Otro (018)",589,509,80
,,,
"RURAL (020)",20374,2565,17809
"Red pública dentro de la vivienda (021)",2821,762,2059
"Red pública fuera de la vivienda (022)",1023,120,903
"Pilón de uso público (023)",427,101,326
"Camión - cisterna u otro similar (024)",37,5,32
"Pozo (025)",2829,182,2647
"Río, acequia, manatial o similar (026)",12028,1233,10795
"Vecino (027)",547,93,454
"Otro (028)",662,69,593
