"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARAZ (000)",39829,273,11767,14144,5998,2267,916,262,32,,4170
"Conviviente (001)",11615,80,3874,4384,1528,515,166,38,4,,1026
"Separado(a) (002)",3229,43,985,1165,540,192,84,23,3,,194
"Casado(a) (003)",17365,94,5006,6434,3019,1144,474,133,14,,1047
"Viudo(a) (004)",3485,38,1177,1189,445,187,98,42,9,,300
"Divorciado(a) (005)",275,3,68,94,56,21,7,2,,,24
"Soltero(a) (006)",3860,15,657,878,410,208,87,24,2,,1579
,,,,,,,,,,,
"URBANA (008)",29594,183,7943,10457,4873,1936,762,204,24,,3212
"Conviviente (009)",8598,49,2607,3341,1219,451,141,28,2,,760
"Separado(a) (010)",2464,32,704,884,443,159,66,20,2,,154
"Casado(a) (011)",12707,60,3302,4611,2468,983,402,97,10,,774
"Viudo(a) (012)",2356,29,767,781,336,132,74,34,8,,195
"Divorciado(a) (013)",247,3,59,85,51,18,7,2,,,22
"Soltero(a) (014)",3222,10,504,755,356,193,72,23,2,,1307
,,,,,,,,,,,
"RURAL (016)",10235,90,3824,3687,1125,331,154,58,8,,958
"Conviviente (017)",3017,31,1267,1043,309,64,25,10,2,,266
"Separado(a) (018)",765,11,281,281,97,33,18,3,1,,40
"Casado(a) (019)",4658,34,1704,1823,551,161,72,36,4,,273
"Viudo(a) (020)",1129,9,410,408,109,55,24,8,1,,105
"Divorciado(a) (021)",28,,9,9,5,3,,,,,2
"Soltero(a) (022)",638,5,153,123,54,15,15,1,,,272
