"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ACOBAMBA (000)",63792,1028,25060,16789,10108,7453,3354
"Hombres (001)",31399,527,12712,8261,4911,3519,1469
"Mujeres (002)",32393,501,12348,8528,5197,3934,1885
"Viviendas particulares (003)",63458,1022,24966,16694,10015,7416,3345
"Hombres (004)",31209,526,12659,8208,4852,3500,1464
"Mujeres (005)",32249,496,12307,8486,5163,3916,1881
"Viviendas colectivas (006)",45,,1,19,16,5,4
"Hombres (007)",31,,,13,13,2,3
"Mujeres (008)",14,,1,6,3,3,1
"Otro tipo (009)",289,6,93,76,77,32,5
"Hombres (010)",159,1,53,40,46,17,2
"Mujeres (011)",130,5,40,36,31,15,3
,,,,,,,
"URBANA (012)",19345,289,6870,5162,3613,2424,987
"Hombres (013)",9477,158,3444,2509,1788,1154,424
"Mujeres (014)",9868,131,3426,2653,1825,1270,563
"Viviendas particulares (015)",19014,283,6776,5068,3521,2387,979
"Hombres (016)",9290,157,3391,2457,1730,1135,420
"Mujeres (017)",9724,126,3385,2611,1791,1252,559
"Viviendas colectivas (018)",42,,1,18,15,5,3
"Hombres (019)",28,,,12,12,2,2
"Mujeres (020)",14,,1,6,3,3,1
"Otro tipo (021)",289,6,93,76,77,32,5
"Hombres (022)",159,1,53,40,46,17,2
"Mujeres (023)",130,5,40,36,31,15,3
,,,,,,,
"RURAL (024)",44447,739,18190,11627,6495,5029,2367
"Hombres (025)",21922,369,9268,5752,3123,2365,1045
"Mujeres (026)",22525,370,8922,5875,3372,2664,1322
"Viviendas particulares (027)",44444,739,18190,11626,6494,5029,2366
"Hombres (028)",21919,369,9268,5751,3122,2365,1044
"Mujeres (029)",22525,370,8922,5875,3372,2664,1322
"Viviendas colectivas (030)",3,,,1,1,,1
"Hombres (031)",3,,,1,1,,1
