"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUANUCO (000)",140512,78691,2707,1394,52794,1306,47,305,165,3103
"Hombres (001)",50887,39566,1643,609,6521,588,35,175,165,1585
"Mujeres (002)",89625,39125,1064,785,46273,718,12,130,,1518
"De 06 a 14 años (003)",56603,53547,,,1348,504,1,48,,1155
"Hombres (004)",28594,27299,,,490,254,1,27,,523
"Mujeres (005)",28009,26248,,,858,250,,21,,632
"De 15 a 29 años (006)",43569,24385,72,373,17751,,19,75,162,732
"Hombres (007)",15079,11977,31,141,2297,,12,43,162,416
"Mujeres (008)",28490,12408,41,232,15454,,7,32,,316
"De 30 a 44 años (009)",16458,616,99,298,15048,,10,53,3,331
"Hombres (010)",1883,237,43,132,1239,,8,31,3,190
"Mujeres (011)",14575,379,56,166,13809,,2,22,,141
"De 45 a 64 años (012)",14052,116,980,371,12154,16,12,45,,358
"Hombres (013)",2199,37,534,153,1231,4,9,32,,199
"Mujeres (014)",11853,79,446,218,10923,12,3,13,,159
"De 65 y más años (015)",9830,27,1556,352,6493,786,5,84,,527
"Hombres (016)",3132,16,1035,183,1264,330,5,42,,257
"Mujeres (017)",6698,11,521,169,5229,456,,42,,270
,,,,,,,,,,
"AREA URBANA (018)",83100,49026,2540,1151,27741,681,32,189,164,1576
"Hombres (019)",32015,24048,1525,508,4544,282,22,101,164,821
"Mujeres (020)",51085,24978,1015,643,23197,399,10,88,,755
"De 06 a 14 años (021)",30613,29382,,,736,183,,20,,292
"Hombres (022)",15350,14747,,,354,93,,12,,144
"Mujeres (023)",15263,14635,,,382,90,,8,,148
"De 15 a 29 años (024)",28867,19055,63,292,8735,,11,53,161,497
"Hombres (025)",11269,9054,26,116,1592,,6,32,161,282
"Mujeres (026)",17598,10001,37,176,7143,,5,21,,215
"De 30 a 44 años (027)",8903,496,91,243,7803,,8,38,3,221
"Hombres (028)",1325,204,40,107,826,,6,20,3,119
"Mujeres (029)",7578,292,51,136,6977,,2,18,,102
"De 45 a 64 años (030)",8235,75,942,313,6641,3,8,22,,231
"Hombres (031)",1688,32,508,125,881,,5,15,,122
"Mujeres (032)",6547,43,434,188,5760,3,3,7,,109
"De 65 y más años (033)",6482,18,1444,303,3826,495,5,56,,335
"Hombres (034)",2383,11,951,160,891,189,5,22,,154
"Mujeres (035)",4099,7,493,143,2935,306,,34,,181
,,,,,,,,,,
"AREA RURAL (036)",57412,29665,167,243,25053,625,15,116,1,1527
"Hombres (037)",18872,15518,118,101,1977,306,13,74,1,764
"Mujeres (038)",38540,14147,49,142,23076,319,2,42,,763
"De 06 a 14 años (039)",25990,24165,,,612,321,1,28,,863
"Hombres (040)",13244,12552,,,136,161,1,15,,379
"Mujeres (041)",12746,11613,,,476,160,,13,,484
"De 15 a 29 años (042)",14702,5330,9,81,9016,,8,22,1,235
"Hombres (043)",3810,2923,5,25,705,,6,11,1,134
"Mujeres (044)",10892,2407,4,56,8311,,2,11,,101
"De 30 a 44 años (045)",7555,120,8,55,7245,,2,15,,110
"Hombres (046)",558,33,3,25,413,,2,11,,71
"Mujeres (047)",6997,87,5,30,6832,,,4,,39
"De 45 a 64 años (048)",5817,41,38,58,5513,13,4,23,,127
"Hombres (049)",511,5,26,28,350,4,4,17,,77
"Mujeres (050)",5306,36,12,30,5163,9,,6,,50
"De 65 y más años (051)",3348,9,112,49,2667,291,,28,,192
"Hombres (052)",749,5,84,23,373,141,,20,,103
"Mujeres (053)",2599,4,28,26,2294,150,,8,,89
