"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUAMALIES (000)",18165,1664,5042,7812,468,2825,354
"Sin nivel (001)",1689,13,541,705,25,345,60
"Educación inicial (002)",18,2,2,7,,4,3
"Primaria (003)",9005,63,2742,4313,265,1455,167
"Secundaria (004)",5406,202,1642,2365,150,935,112
"Superior no univ. incompleta (005)",340,98,55,142,6,34,5
"Superior no univ. completa (006)",854,614,35,149,12,37,7
"Superior univ. incompleta (007)",183,97,13,61,4,8,
"Superior univ. completa (008)",670,575,12,70,6,7,
"Hombres (010)",14048,980,4385,6391,411,1792,89
"Sin nivel (011)",996,,380,452,17,131,16
"Educación inicial (012)",12,2,1,6,,3,
"Primaria (013)",7218,31,2371,3633,242,902,39
"Secundaria (014)",4523,130,1522,2000,134,704,33
"Superior no univ. incompleta (015)",236,59,53,103,3,18,
"Superior no univ. completa (016)",507,342,34,96,9,25,1
"Superior univ. incompleta (017)",137,67,12,48,4,6,
"Superior univ. completa (018)",419,349,12,53,2,3,
"Mujeres (020)",4117,684,657,1421,57,1033,265
"Sin nivel (021)",693,13,161,253,8,214,44
"Educación inicial (022)",6,,1,1,,1,3
"Primaria (023)",1787,32,371,680,23,553,128
"Secundaria (024)",883,72,120,365,16,231,79
"Superior no univ. incompleta (025)",104,39,2,39,3,16,5
"Superior no univ. completa (026)",347,272,1,53,3,12,6
"Superior univ. incompleta (027)",46,30,1,13,,2,
"Superior univ. completa (028)",251,226,,17,4,4,
,,,,,,,
"URBANA (030)",5241,1223,1049,2164,160,492,153
"Sin nivel (031)",269,6,82,116,10,36,19
"Educación inicial (032)",9,2,,5,,,2
"Primaria (033)",1890,37,539,952,88,207,67
"Secundaria (034)",1614,132,371,809,45,201,56
"Superior no univ. incompleta (035)",201,69,22,84,3,18,5
"Superior no univ. completa (036)",645,482,22,110,8,19,4
"Superior univ. incompleta (037)",126,81,6,34,1,4,
"Superior univ. completa (038)",487,414,7,54,5,7,
"Hombres (040)",3635,733,919,1557,131,270,25
"Sin nivel (041)",133,,54,54,8,14,3
"Educación inicial (042)",7,2,,5,,,
"Primaria (043)",1376,17,461,699,78,110,11
"Secundaria (044)",1222,84,349,619,35,124,11
"Superior no univ. incompleta (045)",126,43,22,52,2,7,
"Superior no univ. completa (046)",372,275,21,62,5,9,
"Superior univ. incompleta (047)",93,58,5,26,1,3,
"Superior univ. completa (048)",306,254,7,40,2,3,
"Mujeres (050)",1606,490,130,607,29,222,128
"Sin nivel (051)",136,6,28,62,2,22,16
"Educación inicial (052)",2,,,,,,2
"Primaria (053)",514,20,78,253,10,97,56
"Secundaria (054)",392,48,22,190,10,77,45
"Superior no univ. incompleta (055)",75,26,,32,1,11,5
"Superior no univ. completa (056)",273,207,1,48,3,10,4
"Superior univ. incompleta (057)",33,23,1,8,,1,
"Superior univ. completa (058)",181,160,,14,3,4,
,,,,,,,
"RURAL (060)",12924,441,3993,5648,308,2333,201
"Sin nivel (061)",1420,7,459,589,15,309,41
"Educación inicial (062)",9,,2,2,,4,1
"Primaria (063)",7115,26,2203,3361,177,1248,100
"Secundaria (064)",3792,70,1271,1556,105,734,56
"Superior no univ. incompleta (065)",139,29,33,58,3,16,
"Superior no univ. completa (066)",209,132,13,39,4,18,3
"Superior univ. incompleta (067)",57,16,7,27,3,4,
"Superior univ. completa (068)",183,161,5,16,1,,
"Hombres (070)",10413,247,3466,4834,280,1522,64
"Sin nivel (071)",863,,326,398,9,117,13
"Educación inicial (072)",5,,1,1,,3,
"Primaria (073)",5842,14,1910,2934,164,792,28
"Secundaria (074)",3301,46,1173,1381,99,580,22
"Superior no univ. incompleta (075)",110,16,31,51,1,11,
"Superior no univ. completa (076)",135,67,13,34,4,16,1
"Superior univ. incompleta (077)",44,9,7,22,3,3,
"Superior univ. completa (078)",113,95,5,13,,,
"Mujeres (080)",2511,194,527,814,28,811,137
"Sin nivel (081)",557,7,133,191,6,192,28
"Educación inicial (082)",4,,1,1,,1,1
"Primaria (083)",1273,12,293,427,13,456,72
"Secundaria (084)",491,24,98,175,6,154,34
"Superior no univ. incompleta (085)",29,13,2,7,2,5,
"Superior no univ. completa (086)",74,65,,5,,2,2
"Superior univ. incompleta (087)",13,7,,5,,1,
"Superior univ. completa (088)",70,66,,3,1,,
