"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARAZ (000)",131026,27357,40829,29999,22215,10626
"Hombres (001)",63868,13930,19976,14494,10642,4826
"Mujeres (002)",67158,13427,20853,15505,11573,5800
"PEA (003)",56085,557,18556,20419,13384,3169
"Hombres (004)",36434,353,11665,13107,8900,2409
"Mujeres (005)",19651,204,6891,7312,4484,760
"Ocupada (006)",52505,527,16737,19351,12829,3061
"Hombres (007)",33984,330,10543,12363,8440,2308
"Mujeres (008)",18521,197,6194,6988,4389,753
"Desocupada (009)",3580,30,1819,1068,555,108
"Hombres (010)",2450,23,1122,744,460,101
"Mujeres (011)",1130,7,697,324,95,7
"No PEA (012)",74941,26800,22273,9580,8831,7457
"Hombres (013)",27434,13577,8311,1387,1742,2417
"Mujeres (014)",47507,13223,13962,8193,7089,5040
,,,,,,
"URBANA (018)",97618,18944,31624,23517,16609,6924
"Hombres (019)",47367,9637,15307,11305,7969,3149
"Mujeres (020)",50251,9307,16317,12212,8640,3775
"PEA (021)",44307,403,14712,16806,10513,1873
"Hombres (022)",27007,250,8697,10188,6550,1322
"Mujeres (023)",17300,153,6015,6618,3963,551
"Ocupada (024)",41493,386,13294,15924,10085,1804
"Hombres (025)",25203,237,7890,9610,6207,1259
"Mujeres (026)",16290,149,5404,6314,3878,545
"Desocupada (027)",2814,17,1418,882,428,69
"Hombres (028)",1804,13,807,578,343,63
"Mujeres (029)",1010,4,611,304,85,6
"No PEA (030)",53311,18541,16912,6711,6096,5051
"Hombres (031)",20360,9387,6610,1117,1419,1827
"Mujeres (032)",32951,9154,10302,5594,4677,3224
,,,,,,
"RURAL (036)",33408,8413,9205,6482,5606,3702
"Hombres (037)",16501,4293,4669,3189,2673,1677
"Mujeres (038)",16907,4120,4536,3293,2933,2025
"PEA (039)",11778,154,3844,3613,2871,1296
"Hombres (040)",9427,103,2968,2919,2350,1087
"Mujeres (041)",2351,51,876,694,521,209
"Ocupada (042)",11012,141,3443,3427,2744,1257
"Hombres (043)",8781,93,2653,2753,2233,1049
"Mujeres (044)",2231,48,790,674,511,208
"Desocupada (045)",766,13,401,186,127,39
"Hombres (046)",646,10,315,166,117,38
"Mujeres (047)",120,3,86,20,10,1
"No PEA (048)",21630,8259,5361,2869,2735,2406
"Hombres (049)",7074,4190,1701,270,323,590
"Mujeres (050)",14556,4069,3660,2599,2412,1816
