"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia BAGUA (000)",16885,8610,8275
"Red pública dentro de la vivienda (001)",6433,5609,824
"Red pública fuera de la vivienda (002)",2254,1471,783
"Pilón de uso público (003)",276,66,210
"Camión - cisterna u otro similar (004)",15,2,13
"Pozo (005)",2162,94,2068
"Río, acequia, manatial o similar (006)",5126,1167,3959
"Vecino (007)",393,153,240
"Otro (008)",226,48,178
,,,
"URBANA (010)",8480,7579,901
"Red pública dentro de la vivienda (011)",5735,5392,343
"Red pública fuera de la vivienda (012)",1464,1229,235
"Pilón de uso público (013)",58,43,15
"Camión - cisterna u otro similar (014)",2,1,1
"Pozo (015)",95,47,48
"Río, acequia, manatial o similar (016)",802,699,103
"Vecino (017)",253,122,131
"Otro (018)",71,46,25
,,,
"RURAL (020)",8405,1031,7374
"Red pública dentro de la vivienda (021)",698,217,481
"Red pública fuera de la vivienda (022)",790,242,548
"Pilón de uso público (023)",218,23,195
"Camión - cisterna u otro similar (024)",13,1,12
"Pozo (025)",2067,47,2020
"Río, acequia, manatial o similar (026)",4324,468,3856
"Vecino (027)",140,31,109
"Otro (028)",155,2,153
