"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia ASUNCION (000)",4144,3350,794
"De 3 a 5 años (001)",618,27,591
"De 6 a 11 años (002)",1347,1179,168
"De 12 a 16 años (003)",1119,1115,4
"De 17 a 24 años (004)",1060,1029,31
"Hombres (005)",2124,1738,386
"De 3 a 5 años (006)",324,17,307
"De 6 a 11 años (007)",703,633,70
"De 12 a 16 años (008)",562,561,1
"De 17 a 24 años (009)",535,527,8
"Mujeres (010)",2020,1612,408
"De 3 a 5 años (011)",294,10,284
"De 6 a 11 años (012)",644,546,98
"De 12 a 16 años (013)",557,554,3
"De 17 a 24 años (014)",525,502,23
,,,
"URBANA (015)",1015,822,193
"De 3 a 5 años (016)",186,15,171
"De 6 a 11 años (017)",361,339,22
"De 12 a 16 años (018)",239,239,
"De 17 a 24 años (019)",229,229,
"Hombres (020)",550,439,111
"De 3 a 5 años (021)",108,9,99
"De 6 a 11 años (022)",193,181,12
"De 12 a 16 años (023)",129,129,
"De 17 a 24 años (024)",120,120,
"Mujeres (025)",465,383,82
"De 3 a 5 años (026)",78,6,72
"De 6 a 11 años (027)",168,158,10
"De 12 a 16 años (028)",110,110,
"De 17 a 24 años (029)",109,109,
,,,
"RURAL (030)",3129,2528,601
"De 3 a 5 años (031)",432,12,420
"De 6 a 11 años (032)",986,840,146
"De 12 a 16 años (033)",880,876,4
"De 17 a 24 años (034)",831,800,31
"Hombres (035)",1574,1299,275
"De 3 a 5 años (036)",216,8,208
"De 6 a 11 años (037)",510,452,58
"De 12 a 16 años (038)",433,432,1
"De 17 a 24 años (039)",415,407,8
"Mujeres (040)",1555,1229,326
"De 3 a 5 años (041)",216,4,212
"De 6 a 11 años (042)",476,388,88
"De 12 a 16 años (043)",447,444,3
"De 17 a 24 años (044)",416,393,23
