"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANTA (000)",910,693,217
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",42,42,
"Casa pensión (003)",6,5,1
"Hospital, clinica (004)",52,48,4
"Cárcel, centro de readaptación social (005)",48,48,
"Asilo (006)",5,5,
"Aldea infantil, orfelinato, etc (007)",17,17,
"Otro (008)",495,359,136
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",245,169,76
