"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia PIURA",,,,,,,,,
"Viviendas particulares (001)",144522,73975,24259,6950,23762,9804,268,132,5372
"Ocupantes presentes (002)",661787,351346,108155,29075,110995,36463,1174,637,23942
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",137562,71030,23882,6371,23228,7636,267,132,5016
"Ocupantes presentes (005)",636756,340973,106381,26913,108604,29431,1172,637,22645
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2445,2427,8,7,3,,,,
"Ocupantes presentes (008)",8660,8582,42,24,12,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",364,317,14,15,18,,,,
"Ocupantes presentes (011)",1325,1113,67,63,82,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",259,120,24,21,59,32,,,3
"Ocupantes presentes (014)",1064,478,95,85,278,117,,,11
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",931,,325,66,448,48,1,,43
"Ocupantes presentes (017)",4128,,1551,262,1998,146,2,,169
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2824,,,466,,2078,,,280
"Ocupantes presentes (020)",9507,,,1719,,6755,,,1033
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",112,81,6,4,6,10,,,5
"Ocupantes presentes (023)",274,200,19,9,21,14,,,11
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",25,,,,,,,,25
"Ocupantes presentes (026)",73,,,,,,,,73
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",124264,72145,13996,5794,19596,9642,245,120,2726
"Ocupantes presentes (029)",569042,343046,60550,24171,92099,35946,1076,580,11574
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",118242,69202,13945,5282,19511,7522,245,120,2415
"Ocupantes presentes (032)",548157,332682,60328,22274,91709,29060,1076,580,10448
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2445,2427,8,7,3,,,,
"Ocupantes presentes (035)",8660,8582,42,24,12,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",364,317,14,15,18,,,,
"Ocupantes presentes (038)",1325,1113,67,63,82,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",259,120,24,21,59,32,,,3
"Ocupantes presentes (041)",1064,478,95,85,278,117,,,11
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2824,,,466,,2078,,,280
"Ocupantes presentes (047)",9507,,,1719,,6755,,,1033
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",107,79,5,3,5,10,,,5
"Ocupantes presentes (050)",258,191,18,6,18,14,,,11
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",23,,,,,,,,23
"Ocupantes presentes (053)",71,,,,,,,,71
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",20258,1830,10263,1156,4166,162,23,12,2646
"Ocupantes presentes (056)",92745,8300,47605,4904,18896,517,98,57,12368
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",19320,1828,9937,1089,3717,114,22,12,2601
"Ocupantes presentes (059)",88599,8291,46053,4639,16895,371,96,57,12197
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",931,,325,66,448,48,1,,43
"Ocupantes presentes (071)",4128,,1551,262,1998,146,2,,169
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,2,1,1,1,,,,
"Ocupantes presentes (077)",16,9,1,3,3,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",2,,,,,,,,2
