"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",134315,28194,3900,53629,36350,2119,2494,2911,4718
"Quechua (001)",98774,24235,2352,43248,24944,934,965,798,1298
"Aymara (002)",249,40,7,86,74,4,9,10,19
"Ashaninca (003)",25,5,,13,6,,,,1
"Otra lengua nativa (004)",22,4,,5,9,1,,2,1
"Castellano (005)",35043,3755,1536,10248,11316,1180,1518,2101,3389
"Idioma extranjero (006)",12,,,,,,2,,10
"Es sordomudo/a (007)",190,155,5,29,1,,,,
"Hombres (009)",65311,8565,1944,27619,20633,1120,1369,1548,2513
"Quechua (010)",47369,6607,1130,22399,14736,549,605,495,848
"Aymara (011)",115,6,3,39,42,2,6,5,12
"Ashaninca (012)",8,2,,2,4,,,,
"Otra lengua nativa (013)",9,,,2,6,,,1,
"Castellano (014)",17708,1872,807,5161,5844,569,758,1047,1650
"Idioma extranjero (015)",3,,,,,,,,3
"Es sordomudo/a (016)",99,78,4,16,1,,,,
"Mujeres (018)",69004,19629,1956,26010,15717,999,1125,1363,2205
"Quechua (019)",51405,17628,1222,20849,10208,385,360,303,450
"Aymara (020)",134,34,4,47,32,2,3,5,7
"Ashaninca (021)",17,3,,11,2,,,,1
"Otra lengua nativa (022)",13,4,,3,3,1,,1,1
"Castellano (023)",17335,1883,729,5087,5472,611,760,1054,1739
"Idioma extranjero (024)",9,,,,,,2,,7
"Es sordomudo/a (025)",91,77,1,13,,,,,
,,,,,,,,,
"URBANA (027)",60719,8217,1733,20161,19452,1723,2269,2649,4515
"Quechua (028)",31131,5367,498,12153,9907,643,800,610,1153
"Aymara (029)",174,18,4,54,56,4,9,10,19
"Ashaninca (030)",19,4,,10,4,,,,1
"Otra lengua nativa (031)",16,1,,4,7,1,,2,1
"Castellano (032)",29304,2777,1228,7930,9478,1075,1458,2027,3331
"Idioma extranjero (033)",12,,,,,,2,,10
"Es sordomudo/a (034)",63,50,3,10,,,,,
"Hombres (036)",29449,2479,871,9792,10479,876,1226,1369,2357
"Quechua (037)",14760,1110,232,5830,5630,369,496,364,729
"Aymara (038)",86,2,2,27,30,2,6,5,12
"Ashaninca (039)",7,2,,2,3,,,,
"Otra lengua nativa (040)",6,,,1,4,,,1,
"Castellano (041)",14556,1341,635,3927,4812,505,724,999,1613
"Idioma extranjero (042)",3,,,,,,,,3
"Es sordomudo/a (043)",31,24,2,5,,,,,
"Mujeres (045)",31270,5738,862,10369,8973,847,1043,1280,2158
"Quechua (046)",16371,4257,266,6323,4277,274,304,246,424
"Aymara (047)",88,16,2,27,26,2,3,5,7
"Ashaninca (048)",12,2,,8,1,,,,1
"Otra lengua nativa (049)",10,1,,3,3,1,,1,1
"Castellano (050)",14748,1436,593,4003,4666,570,734,1028,1718
"Idioma extranjero (051)",9,,,,,,2,,7
"Es sordomudo/a (052)",32,26,1,5,,,,,
,,,,,,,,,
"RURAL (054)",73596,19977,2167,33468,16898,396,225,262,203
"Quechua (055)",67643,18868,1854,31095,15037,291,165,188,145
"Aymara (056)",75,22,3,32,18,,,,
"Ashaninca (057)",6,1,,3,2,,,,
"Otra lengua nativa (058)",6,3,,1,2,,,,
"Castellano (059)",5739,978,308,2318,1838,105,60,74,58
"Es sordomudo/a (061)",127,105,2,19,1,,,,
"Hombres (063)",35862,6086,1073,17827,10154,244,143,179,156
"Quechua (064)",32609,5497,898,16569,9106,180,109,131,119
"Aymara (065)",29,4,1,12,12,,,,
"Ashaninca (066)",1,,,,1,,,,
"Otra lengua nativa (067)",3,,,1,2,,,,
"Castellano (068)",3152,531,172,1234,1032,64,34,48,37
"Es sordomudo/a (070)",68,54,2,11,1,,,,
"Mujeres (072)",37734,13891,1094,15641,6744,152,82,83,47
"Quechua (073)",35034,13371,956,14526,5931,111,56,57,26
"Aymara (074)",46,18,2,20,6,,,,
"Ashaninca (075)",5,1,,3,1,,,,
"Otra lengua nativa (076)",3,3,,,,,,,
"Castellano (077)",2587,447,136,1084,806,41,26,26,21
"Es sordomudo/a (079)",59,51,,8,,,,,
