"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia SAN MARTIN",,,,,
"Viviendas particulares (001)",2224,309,332,577,1006
"Ocupantes presentes (002)",9474,1196,1319,2517,4442
"Casa independiente",,,,,
"Viviendas particulares (004)",2119,278,327,544,970
"Ocupantes presentes (005)",9094,1109,1302,2382,4301
"Departamento en edificio",,,,,
"Viviendas particulares (007)",2,,,1,1
"Ocupantes presentes (008)",12,,,7,5
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",72,23,4,24,21
"Ocupantes presentes (011)",253,56,16,92,89
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",10,3,1,2,4
"Ocupantes presentes (014)",35,10,1,10,14
"Choza o cabaña",,,,,
"Viviendas particulares (016)",3,2,,,1
"Ocupantes presentes (017)",9,8,,,1
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",16,3,,4,9
"Ocupantes presentes (020)",57,13,,12,32
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",2,,,2,
"Ocupantes presentes (023)",14,,,14,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",2158,301,331,574,952
"Ocupantes presentes (029)",9222,1163,1314,2508,4237
"Casa independiente",,,,,
"Viviendas particulares (031)",2056,272,326,541,917
"Ocupantes presentes (032)",8851,1084,1297,2373,4097
"Departamento en edificio",,,,,
"Viviendas particulares (034)",2,,,1,1
"Ocupantes presentes (035)",12,,,7,5
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",72,23,4,24,21
"Ocupantes presentes (038)",253,56,16,92,89
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",10,3,1,2,4
"Ocupantes presentes (041)",35,10,1,10,14
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",16,3,,4,9
"Ocupantes presentes (047)",57,13,,12,32
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",2,,,2,
"Ocupantes presentes (050)",14,,,14,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",66,8,1,3,54
"Ocupantes presentes (056)",252,33,5,9,205
"Casa independiente",,,,,
"Viviendas particulares (058)",63,6,1,3,53
"Ocupantes presentes (059)",243,25,5,9,204
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",3,2,,,1
"Ocupantes presentes (071)",9,8,,,1
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
