"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUANCANE (000)",29627,4183,8795,8150,8499
"Asiste actualmente (001)",20215,1336,8233,7441,3205
"No asiste (002)",9412,2847,562,709,5294
"Hombres (004)",15026,2121,4500,4059,4346
"Asiste actualmente (005)",10627,691,4206,3787,1943
"No asiste (006)",4399,1430,294,272,2403
"Mujeres (008)",14601,2062,4295,4091,4153
"Asiste actualmente (009)",9588,645,4027,3654,1262
"No asiste (010)",5013,1417,268,437,2891
,,,,,
"URBANA (012)",6241,785,1652,1635,2169
"Asiste actualmente (013)",4422,310,1554,1529,1029
"No asiste (014)",1819,475,98,106,1140
"Hombres (016)",3213,394,882,804,1133
"Asiste actualmente (017)",2344,161,828,760,595
"No asiste (018)",869,233,54,44,538
"Mujeres (020)",3028,391,770,831,1036
"Asiste actualmente (021)",2078,149,726,769,434
"No asiste (022)",950,242,44,62,602
,,,,,
"RURAL (024)",23386,3398,7143,6515,6330
"Asiste actualmente (025)",15793,1026,6679,5912,2176
"No asiste (026)",7593,2372,464,603,4154
"Hombres (028)",11813,1727,3618,3255,3213
"Asiste actualmente (029)",8283,530,3378,3027,1348
"No asiste (030)",3530,1197,240,228,1865
"Mujeres (032)",11573,1671,3525,3260,3117
"Asiste actualmente (033)",7510,496,3301,2885,828
"No asiste (034)",4063,1175,224,375,2289
