"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BARRANCA (000)",132914,2305,35511,35677,26973,22018,10430
"Casa independiente (001)",124721,2116,33178,33271,25232,20883,10041
"Departamento en edificio (002)",1601,41,405,444,404,237,70
"Vivienda en quinta (003)",2422,57,685,687,514,347,132
"Vivienda en casa de vecindad (004)",1970,41,561,605,390,266,107
"Choza o cabaña (005)",1306,28,414,379,245,180,60
"Vivienda improvisada (006)",719,17,237,227,150,75,13
"Local no destinado para hab.humana (007)",140,4,29,42,33,25,7
"Otro tipo (008)",35,1,2,22,5,5,
,,,,,,,
"URBANA (009)",113295,1911,30012,30168,23176,19018,9010
"Casa independiente (010)",106452,1752,28100,28164,21686,18068,8682
"Departamento en edificio (011)",1601,41,405,444,404,237,70
"Vivienda en quinta (012)",2422,57,685,687,514,347,132
"Vivienda en casa de vecindad (013)",1970,41,561,605,390,266,107
"Vivienda improvisada (015)",719,17,237,227,150,75,13
"Local no destinado para hab.humana (016)",115,2,23,32,29,23,6
"Otro tipo (017)",16,1,1,9,3,2,
,,,,,,,
"RURAL (018)",19619,394,5499,5509,3797,3000,1420
"Casa independiente (019)",18269,364,5078,5107,3546,2815,1359
"Choza o cabaña (023)",1306,28,414,379,245,180,60
"Local no destinado para hab.humana (025)",25,2,6,10,4,2,1
"Otro tipo (026)",19,,1,13,2,3,
