"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN MARTIN (000)",42994,667,17834,12527,4466,1631,692,194,18,,4965
"Catolica (001)",32025,453,12852,9421,3563,1299,543,148,14,,3732
"Cristiana / Evangelica (002)",7172,139,3272,2048,572,223,102,34,4,,778
"Otra (003)",2316,38,962,687,240,81,38,11,,,259
"Ninguna (004)",1481,37,748,371,91,28,9,1,,,196
,,,,,,,,,,,
"URBANA (006)",39617,553,15932,11771,4329,1573,670,185,18,,4586
"Catolica (007)",29614,379,11509,8882,3450,1257,522,140,14,,3461
"Cristiana / Evangelica (008)",6508,108,2888,1898,554,210,102,33,4,,711
"Otra (009)",2190,37,893,654,236,78,37,11,,,244
"Ninguna (010)",1305,29,642,337,89,28,9,1,,,170
,,,,,,,,,,,
"RURAL (012)",3377,114,1902,756,137,58,22,9,,,379
"Catolica (013)",2411,74,1343,539,113,42,21,8,,,271
"Cristiana / Evangelica (014)",664,31,384,150,18,13,,1,,,67
"Otra (015)",126,1,69,33,4,3,1,,,,15
"Ninguna (016)",176,8,106,34,2,,,,,,26
