"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANDAHUAYLAS (000)",134315,55099,11173,2185,66033
"Quechua (001)",98774,44302,3540,920,50088
"Aymara (002)",249,66,30,16,144
"Asháninka (003)",25,16,3,7,4
"Otra lengua nativa (004)",22,4,3,2,14
"Castellano (005)",35043,10624,7588,1236,15681
"Idioma Extranjero (006)",12,,2,,10
"Es Sordomudo/a (007)",190,87,7,4,92
"Hombres (009)",65311,25645,5396,1349,33039
"Quechua (010)",47369,20226,1801,555,24838
"Aymara (011)",115,28,13,12,67
"Asháninka (012)",8,5,,4,2
"Otra lengua nativa (013)",9,1,1,1,6
"Castellano (014)",17708,5341,3578,775,8073
"Idioma Extranjero (015)",3,,1,,2
"Es Sordomudo/a (016)",99,44,2,2,51
"Mujeres (018)",69004,29454,5777,836,32994
"Quechua (019)",51405,24076,1739,365,25250
"Aymara (020)",134,38,17,4,77
"Asháninka (021)",17,11,3,3,2
"Otra lengua nativa (022)",13,3,2,1,8
"Castellano (023)",17335,5283,4010,461,7608
"Idioma Extranjero (024)",9,,1,,8
"Es Sordomudo/a (025)",91,43,5,2,41
,,,,,
"URBANA (027)",60719,17349,10287,1799,31417
"Quechua (028)",31131,10108,2898,616,17553
"Aymara (029)",174,33,28,13,105
"Asháninka (030)",19,11,3,7,3
"Otra lengua nativa (031)",16,2,2,2,11
"Castellano (032)",29304,7176,7348,1158,13700
"Idioma Extranjero (033)",12,,2,,10
"Es Sordomudo/a (034)",63,19,6,3,35
"Hombres (036)",29449,8014,4922,1135,15475
"Quechua (037)",14760,4452,1463,399,8480
"Aymara (038)",86,16,12,12,51
"Asháninka (039)",7,4,,4,2
"Otra lengua nativa (040)",6,,,1,5
"Castellano (041)",14556,3531,3444,718,6918
"Idioma Extranjero (042)",3,,1,,2
"Es Sordomudo/a (043)",31,11,2,1,17
"Mujeres (045)",31270,9335,5365,664,15942
"Quechua (046)",16371,5656,1435,217,9073
"Aymara (047)",88,17,16,1,54
"Asháninka (048)",12,7,3,3,1
"Otra lengua nativa (049)",10,2,2,1,6
"Castellano (050)",14748,3645,3904,440,6782
"Idioma Extranjero (051)",9,,1,,8
"Es Sordomudo/a (052)",32,8,4,2,18
,,,,,
"RURAL (054)",73596,37750,886,386,34616
"Quechua (055)",67643,34194,642,304,32535
"Aymara (056)",75,33,2,3,39
"Asháninka (057)",6,5,,,1
"Otra lengua nativa (058)",6,2,1,,3
"Castellano (059)",5739,3448,240,78,1981
"Es Sordomudo/a (061)",127,68,1,1,57
"Hombres (063)",35862,17631,474,214,17564
"Quechua (064)",32609,15774,338,156,16358
"Aymara (065)",29,12,1,,16
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",3,1,1,,1
"Castellano (068)",3152,1810,134,57,1155
"Es Sordomudo/a (070)",68,33,,1,34
"Mujeres (072)",37734,20119,412,172,17052
"Quechua (073)",35034,18420,304,148,16177
"Aymara (074)",46,21,1,3,23
"Asháninka (075)",5,4,,,1
"Otra lengua nativa (076)",3,1,,,2
"Castellano (077)",2587,1638,106,21,826
"Es Sordomudo/a (079)",59,35,1,,23
