"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMAS (000)",32666,28666,2341,839,820
"Agric., ganadería, caza y silvicultura (001)",25091,23149,1722,199,21
"Pesca (002)",3,3,,,
"Explotación de minas y canteras (003)",4,,2,1,1
"Industrias manufactureras (004)",502,441,32,20,9
"Suministro de electricidad, gas y agua (005)",39,8,12,11,8
"Construcción (006)",739,429,152,97,61
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1702,1633,59,8,2
"Venta, mant.y rep. veh.autom y motoc. (008)",79,73,4,1,1
"Comercio al por mayor (009)",125,114,8,2,1
"Comercio al por menor (010)",1498,1446,47,5,
"Hoteles y restaurantes (011)",459,428,28,2,1
"Trans., almac. y comunicaciones (012)",655,554,54,32,15
"Intermediación financiera (013)",26,1,4,11,10
"Activid.inmobil., empres. y alquileres (014)",139,66,26,27,20
"Admin.pub. y defensa; p. segur soc.afil (015)",429,,,,429
"Enseñanza (016)",848,225,174,368,81
"Servicios sociales y de salud (017)",215,58,9,5,143
"Otras activ. serv.comun.soc y personales (018)",179,115,23,32,9
"Hogares privados con servicio doméstico (019)",944,944,,,
"Actividad economica no especificada (021)",692,612,44,26,10
"Hombres (022)",23680,20789,1766,575,550
"Agric., ganadería, caza y silvicultura (023)",19710,18240,1315,137,18
"Pesca (024)",3,3,,,
"Explotación de minas y canteras (025)",4,,2,1,1
"Industrias manufactureras (026)",368,316,29,17,6
"Suministro de electricidad, gas y agua (027)",38,8,12,11,7
"Construcción (028)",723,421,147,97,58
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",846,807,35,2,2
"Venta, mant.y rep. veh.autom y motoc. (030)",73,68,4,,1
"Comercio al por mayor (031)",60,55,4,,1
"Comercio al por menor (032)",713,684,27,2,
"Hoteles y restaurantes (033)",76,67,6,2,1
"Trans., almac. y comunicaciones (034)",621,529,53,26,13
"Intermediación financiera (035)",15,1,3,7,4
"Activid.inmobil., empres. y alquileres (036)",106,46,20,25,15
"Admin.pub. y defensa; p. segur soc.afil (037)",304,,,,304
"Enseñanza (038)",448,93,103,207,45
"Servicios sociales y de salud (039)",102,30,5,3,64
"Otras activ. serv.comun.soc y personales (040)",130,78,18,28,6
"Hogares privados con servicio doméstico (041)",35,35,,,
"Actividad economica no especificada (043)",151,115,18,12,6
