"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ESPINAR (000)",54194,5624,783,25712,16465,1621,1780,821,1388
"Hombres (001)",27112,1199,393,12066,9875,1026,1139,513,901
"Mujeres (002)",27082,4425,390,13646,6590,595,641,308,487
"PEA (003)",23939,2634,25,9747,7564,834,1480,436,1219
"Hombres (004)",14223,655,7,5232,5529,619,1019,337,825
"Mujeres (005)",9716,1979,18,4515,2035,215,461,99,394
"Ocupada (006)",22864,2601,24,9444,7013,787,1392,413,1190
"Hombres (007)",13426,638,6,5032,5075,583,963,320,809
"Mujeres (008)",9438,1963,18,4412,1938,204,429,93,381
"Desocupada (009)",1075,33,1,303,551,47,88,23,29
"Hombres (010)",797,17,1,200,454,36,56,17,16
"Mujeres (011)",278,16,,103,97,11,32,6,13
"No PEA (012)",30255,2990,758,15965,8901,787,300,385,169
"Hombres (013)",12889,544,386,6834,4346,407,120,176,76
"Mujeres (014)",17366,2446,372,9131,4555,380,180,209,93
,,,,,,,,,
"URBANA (018)",24523,1265,286,9243,9004,1229,1505,717,1274
"Hombres (019)",12396,217,143,4118,5018,725,930,434,811
"Mujeres (020)",12127,1048,143,5125,3986,504,575,283,463
"PEA (021)",10227,384,5,2425,4007,641,1257,379,1129
"Hombres (022)",6430,78,2,1189,2826,460,839,285,751
"Mujeres (023)",3797,306,3,1236,1181,181,418,94,378
"Ocupada (024)",9491,364,4,2250,3636,600,1179,356,1102
"Hombres (025)",5914,70,1,1084,2532,430,793,268,736
"Mujeres (026)",3577,294,3,1166,1104,170,386,88,366
"Desocupada (027)",736,20,1,175,371,41,78,23,27
"Hombres (028)",516,8,1,105,294,30,46,17,15
"Mujeres (029)",220,12,,70,77,11,32,6,12
"No PEA (030)",14296,881,281,6818,4997,588,248,338,145
"Hombres (031)",5966,139,141,2929,2192,265,91,149,60
"Mujeres (032)",8330,742,140,3889,2805,323,157,189,85
,,,,,,,,,
"RURAL (036)",29671,4359,497,16469,7461,392,275,104,114
"Hombres (037)",14716,982,250,7948,4857,301,209,79,90
"Mujeres (038)",14955,3377,247,8521,2604,91,66,25,24
"PEA (039)",13712,2250,20,7322,3557,193,223,57,90
"Hombres (040)",7793,577,5,4043,2703,159,180,52,74
"Mujeres (041)",5919,1673,15,3279,854,34,43,5,16
"Ocupada (042)",13373,2237,20,7194,3377,187,213,57,88
"Hombres (043)",7512,568,5,3948,2543,153,170,52,73
"Mujeres (044)",5861,1669,15,3246,834,34,43,5,15
"Desocupada (045)",339,13,,128,180,6,10,,2
"Hombres (046)",281,9,,95,160,6,10,,1
"Mujeres (047)",58,4,,33,20,,,,1
"No PEA (048)",15959,2109,477,9147,3904,199,52,47,24
"Hombres (049)",6923,405,245,3905,2154,142,29,27,16
"Mujeres (050)",9036,1704,232,5242,1750,57,23,20,8
