"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PASCO (000)",3600,43,2083,1008,402,64
"Sin nivel (001)",145,11,38,44,36,16
"Educación inicial (002)",8,1,4,3,,
"Primaria (003)",508,17,156,158,143,34
"Secundaria (004)",1803,14,1163,456,160,10
"Superior no univ. incompleta (005)",190,,123,58,8,1
"Superior no univ. completa (006)",264,,176,81,7,
"Superior univ. incompleta (007)",177,,116,50,10,1
"Superior univ. completa (008)",505,,307,158,38,2
"Hombres (010)",2529,30,1357,749,339,54
"Sin nivel (011)",90,7,23,24,26,10
"Educación inicial (012)",5,,3,2,,
"Primaria (013)",369,10,96,115,118,30
"Secundaria (014)",1379,13,832,378,146,10
"Superior no univ. incompleta (015)",134,,82,46,5,1
"Superior no univ. completa (016)",168,,108,53,7,
"Superior univ. incompleta (017)",126,,78,38,9,1
"Superior univ. completa (018)",258,,135,93,28,2
"Mujeres (020)",1071,13,726,259,63,10
"Sin nivel (021)",55,4,15,20,10,6
"Educación inicial (022)",3,1,1,1,,
"Primaria (023)",139,7,60,43,25,4
"Secundaria (024)",424,1,331,78,14,
"Superior no univ. incompleta (025)",56,,41,12,3,
"Superior no univ. completa (026)",96,,68,28,,
"Superior univ. incompleta (027)",51,,38,12,1,
"Superior univ. completa (028)",247,,172,65,10,
,,,,,,
"Area Urbana (030)",2814,26,1574,828,335,51
"Sin nivel (031)",88,6,17,27,26,12
"Educación inicial (032)",5,1,3,1,,
"Primaria (033)",333,11,82,104,111,25
"Secundaria (034)",1336,8,811,369,138,10
"Superior no univ. incompleta (035)",166,,104,54,7,1
"Superior no univ. completa (036)",245,,162,77,6,
"Superior univ. incompleta (037)",164,,106,48,9,1
"Superior univ. completa (038)",477,,289,148,38,2
"Hombres (040)",1954,17,1004,616,275,42
"Sin nivel (041)",49,4,9,14,16,6
"Educación inicial (042)",2,,2,,,
"Primaria (043)",235,5,47,72,89,22
"Secundaria (044)",1043,8,588,313,124,10
"Superior no univ. incompleta (045)",117,,68,44,4,1
"Superior no univ. completa (046)",155,,98,51,6,
"Superior univ. incompleta (047)",115,,70,36,8,1
"Superior univ. completa (048)",238,,122,86,28,2
"Mujeres (050)",860,9,570,212,60,9
"Sin nivel (051)",39,2,8,13,10,6
"Educación inicial (052)",3,1,1,1,,
"Primaria (053)",98,6,35,32,22,3
"Secundaria (054)",293,,223,56,14,
"Superior no univ. incompleta (055)",49,,36,10,3,
"Superior no univ. completa (056)",90,,64,26,,
"Superior univ. incompleta (057)",49,,36,12,1,
"Superior univ. completa (058)",239,,167,62,10,
,,,,,,
"Area Rural (060)",786,17,509,180,67,13
"Sin nivel (061)",57,5,21,17,10,4
"Educación inicial (062)",3,,1,2,,
"Primaria (063)",175,6,74,54,32,9
"Secundaria (064)",467,6,352,87,22,
"Superior no univ. incompleta (065)",24,,19,4,1,
"Superior no univ. completa (066)",19,,14,4,1,
"Superior univ. incompleta (067)",13,,10,2,1,
"Superior univ. completa (068)",28,,18,10,,
"Hombres (070)",575,13,353,133,64,12
"Sin nivel (071)",41,3,14,10,10,4
"Educación inicial (072)",3,,1,2,,
"Primaria (073)",134,5,49,43,29,8
"Secundaria (074)",336,5,244,65,22,
"Superior no univ. incompleta (075)",17,,14,2,1,
"Superior no univ. completa (076)",13,,10,2,1,
"Superior univ. incompleta (077)",11,,8,2,1,
"Superior univ. completa (078)",20,,13,7,,
"Mujeres (080)",211,4,156,47,3,1
"Sin nivel (081)",16,2,7,7,,
"Primaria (083)",41,1,25,11,3,1
"Secundaria (084)",131,1,108,22,,
"Superior no univ. incompleta (085)",7,,5,2,,
"Superior no univ. completa (086)",6,,4,2,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",8,,5,3,,
