"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia QUISPICANCHI (000)",878,19,457,229,140,33
"Conviviente (001)",294,1,146,104,40,3
"Separado(a) (002)",15,,4,4,5,2
"Casado(a) (003)",208,,20,87,81,20
"Viudo(a) (004)",18,,,3,9,6
"Divorciado(a) (005)",1,,1,,,
"Soltero(a) (006)",342,18,286,31,5,2
"Hombres (008)",676,16,325,186,122,27
"Conviviente (009)",222,1,99,85,34,3
"Separado(a) (010)",7,,,2,4,1
"Casado(a) (011)",182,,13,78,73,18
"Viudo(a) (012)",9,,,,6,3
"Soltero(a) (014)",256,15,213,21,5,2
"Mujeres (016)",202,3,132,43,18,6
"Conviviente (017)",72,,47,19,6,
"Separado(a) (018)",8,,4,2,1,1
"Casado(a) (019)",26,,7,9,8,2
"Viudo(a) (020)",9,,,3,3,3
"Divorciado(a) (021)",1,,1,,,
"Soltero(a) (022)",86,3,73,10,,
,,,,,,
"AREA URBANA (024)",385,7,192,112,54,20
"Conviviente (025)",139,1,64,54,19,1
"Separado(a) (026)",8,,1,3,2,2
"Casado(a) (027)",83,,6,34,29,14
"Viudo(a) (028)",5,,,2,1,2
"Soltero(a) (030)",150,6,121,19,3,1
"Hombres (032)",274,6,123,82,47,16
"Conviviente (033)",96,1,37,41,16,1
"Separado(a) (034)",3,,,1,1,1
"Casado(a) (035)",70,,4,28,26,12
"Viudo(a) (036)",2,,,,1,1
"Soltero(a) (038)",103,5,82,12,3,1
"Mujeres (040)",111,1,69,30,7,4
"Conviviente (041)",43,,27,13,3,
"Separado(a) (042)",5,,1,2,1,1
"Casado(a) (043)",13,,2,6,3,2
"Viudo(a) (044)",3,,,2,,1
"Soltero(a) (046)",47,1,39,7,,
,,,,,,
"AREA RURAL (048)",493,12,265,117,86,13
"Conviviente (049)",155,,82,50,21,2
"Separado(a) (050)",7,,3,1,3,
"Casado(a) (051)",125,,14,53,52,6
"Viudo(a) (052)",13,,,1,8,4
"Divorciado(a) (053)",1,,1,,,
"Soltero(a) (054)",192,12,165,12,2,1
"Hombres (056)",402,10,202,104,75,11
"Conviviente (057)",126,,62,44,18,2
"Separado(a) (058)",4,,,1,3,
"Casado(a) (059)",112,,9,50,47,6
"Viudo(a) (060)",7,,,,5,2
"Soltero(a) (062)",153,10,131,9,2,1
"Mujeres (064)",91,2,63,13,11,2
"Conviviente (065)",29,,20,6,3,
"Separado(a) (066)",3,,3,,,
"Casado(a) (067)",13,,5,3,5,
"Viudo(a) (068)",6,,,1,3,2
"Divorciado(a) (069)",1,,1,,,
"Soltero(a) (070)",39,2,34,3,,
