"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia OTUZCO (000)",41392,6009,12751,10787,11845
"Asiste actualmente (001)",21380,1388,11309,6928,1755
"No asiste (002)",20012,4621,1442,3859,10090
"Hombres (004)",21067,2982,6473,5593,6019
"Asiste actualmente (005)",11179,682,5741,3789,967
"No asiste (006)",9888,2300,732,1804,5052
"Mujeres (008)",20325,3027,6278,5194,5826
"Asiste actualmente (009)",10201,706,5568,3139,788
"No asiste (010)",10124,2321,710,2055,5038
,,,,,
"URBANA (012)",9102,1153,2640,2540,2769
"Asiste actualmente (013)",6146,467,2470,2212,997
"No asiste (014)",2956,686,170,328,1772
"Hombres (016)",4584,577,1336,1297,1374
"Asiste actualmente (017)",3127,243,1255,1143,486
"No asiste (018)",1457,334,81,154,888
"Mujeres (020)",4518,576,1304,1243,1395
"Asiste actualmente (021)",3019,224,1215,1069,511
"No asiste (022)",1499,352,89,174,884
,,,,,
"RURAL (024)",32290,4856,10111,8247,9076
"Asiste actualmente (025)",15234,921,8839,4716,758
"No asiste (026)",17056,3935,1272,3531,8318
"Hombres (028)",16483,2405,5137,4296,4645
"Asiste actualmente (029)",8052,439,4486,2646,481
"No asiste (030)",8431,1966,651,1650,4164
"Mujeres (032)",15807,2451,4974,3951,4431
"Asiste actualmente (033)",7182,482,4353,2070,277
"No asiste (034)",8625,1969,621,1881,4154
