"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia UTCUBAMBA (000)",107795,2244,38188,28676,20079,13695,4913
"Jefe o Jefa (001)",26024,,57,4666,9887,8201,3213
"Esposa(o) / compañera(o) (002)",18028,,38,5664,7101,4302,923
"Hijo(a) / hijastro(a) (003)",49529,1677,31696,13937,1890,321,8
"Yerno / nuera (004)",1259,,27,953,236,40,3
"Nieto(a) (005)",5519,437,4274,776,30,2,
"Padres / suegros (006)",801,,,,19,260,522
"Otro(a) pariente (007)",5268,121,1905,1963,647,427,205
"Trabajador(a) del hogar (008)",159,,12,125,14,8,
"Pensionistas (009)",77,,3,39,18,15,2
"Otro(a) no pariente (010)",1131,9,176,553,237,119,37
"Hombres (011)",55817,1159,19493,14708,10360,7332,2765
"Jefe o Jefa (012)",20961,,32,3756,8241,6528,2404
"Esposa(o) / compañera(o) (013)",584,,12,179,219,134,40
"Hijo(a) / hijastro(a) (014)",26776,870,16197,8409,1114,180,6
"Yerno / nuera (015)",524,,6,323,156,36,3
"Nieto(a) (016)",2907,223,2181,484,18,1,
"Padres / suegros (017)",273,,,,5,90,178
"Otro(a) pariente (018)",3036,64,968,1216,424,254,110
"Trabajador(a) del hogar (019)",19,,2,13,2,2,
"Pensionistas (020)",54,,3,25,13,12,1
"Otro(a) no pariente (021)",683,2,92,303,168,95,23
"Mujeres (022)",51978,1085,18695,13968,9719,6363,2148
"Jefe o Jefa (023)",5063,,25,910,1646,1673,809
"Esposa(o) / compañera(o) (024)",17444,,26,5485,6882,4168,883
"Hijo(a) / hijastro(a) (025)",22753,807,15499,5528,776,141,2
"Yerno / nuera (026)",735,,21,630,80,4,
"Nieto(a) (027)",2612,214,2093,292,12,1,
"Padres / suegros (028)",528,,,,14,170,344
"Otro(a) pariente (029)",2232,57,937,747,223,173,95
"Trabajador(a) del hogar (030)",140,,10,112,12,6,
"Pensionistas (031)",23,,,14,5,3,1
"Otro(a) no pariente (032)",448,7,84,250,69,24,14
,,,,,,,
"URBANA (033)",45821,844,14844,12389,9438,6218,2088
"Jefe o Jefa (034)",11867,,41,2028,4647,3837,1314
"Esposa(o) / compañera(o) (035)",7445,,21,2090,3205,1760,369
"Hijo(a) / hijastro(a) (036)",19347,585,11805,5940,871,144,2
"Yerno / nuera (037)",559,,11,394,128,24,2
"Nieto(a) (038)",2451,188,1895,351,16,1,
"Padres / suegros (039)",414,,,,8,139,267
"Otro(a) pariente (040)",2804,63,950,1070,381,232,108
"Trabajador(a) del hogar (041)",138,,9,110,14,5,
"Pensionistas (042)",58,,2,34,12,8,2
"Otro(a) no pariente (043)",738,8,110,372,156,68,24
"Hombres (044)",23182,428,7589,6060,4649,3310,1146
"Jefe o Jefa (045)",8868,,23,1427,3591,2888,939
"Esposa(o) / compañera(o) (046)",367,,11,112,133,83,28
"Hijo(a) / hijastro(a) (047)",10278,293,6054,3369,484,76,2
"Yerno / nuera (048)",248,,4,134,88,20,2
"Nieto(a) (049)",1308,101,983,214,10,,
"Padres / suegros (050)",148,,,,1,47,100
"Otro(a) pariente (051)",1515,32,456,598,232,139,58
"Trabajador(a) del hogar (052)",15,,1,11,2,1,
"Pensionistas (053)",40,,2,21,10,6,1
"Otro(a) no pariente (054)",395,2,55,174,98,50,16
"Mujeres (055)",22639,416,7255,6329,4789,2908,942
"Jefe o Jefa (056)",2999,,18,601,1056,949,375
"Esposa(o) / compañera(o) (057)",7078,,10,1978,3072,1677,341
"Hijo(a) / hijastro(a) (058)",9069,292,5751,2571,387,68,
"Yerno / nuera (059)",311,,7,260,40,4,
"Nieto(a) (060)",1143,87,912,137,6,1,
"Padres / suegros (061)",266,,,,7,92,167
"Otro(a) pariente (062)",1289,31,494,472,149,93,50
"Trabajador(a) del hogar (063)",123,,8,99,12,4,
"Pensionistas (064)",18,,,13,2,2,1
"Otro(a) no pariente (065)",343,6,55,198,58,18,8
,,,,,,,
"RURAL (066)",61974,1400,23344,16287,10641,7477,2825
"Jefe o Jefa (067)",14157,,16,2638,5240,4364,1899
"Esposa(o) / compañera(o) (068)",10583,,17,3574,3896,2542,554
"Hijo(a) / hijastro(a) (069)",30182,1092,19891,7997,1019,177,6
"Yerno / nuera (070)",700,,16,559,108,16,1
"Nieto(a) (071)",3068,249,2379,425,14,1,
"Padres / suegros (072)",387,,,,11,121,255
"Otro(a) pariente (073)",2464,58,955,893,266,195,97
"Trabajador(a) del hogar (074)",21,,3,15,,3,
"Pensionistas (075)",19,,1,5,6,7,
"Otro(a) no pariente (076)",393,1,66,181,81,51,13
"Hombres (077)",32635,731,11904,8648,5711,4022,1619
"Jefe o Jefa (078)",12093,,9,2329,4650,3640,1465
"Esposa(o) / compañera(o) (079)",217,,1,67,86,51,12
"Hijo(a) / hijastro(a) (080)",16498,577,10143,5040,630,104,4
"Yerno / nuera (081)",276,,2,189,68,16,1
"Nieto(a) (082)",1599,122,1198,270,8,1,
"Padres / suegros (083)",125,,,,4,43,78
"Otro(a) pariente (084)",1521,32,512,618,192,115,52
"Trabajador(a) del hogar (085)",4,,1,2,,1,
"Pensionistas (086)",14,,1,4,3,6,
"Otro(a) no pariente (087)",288,,37,129,70,45,7
"Mujeres (088)",29339,669,11440,7639,4930,3455,1206
"Jefe o Jefa (089)",2064,,7,309,590,724,434
"Esposa(o) / compañera(o) (090)",10366,,16,3507,3810,2491,542
"Hijo(a) / hijastro(a) (091)",13684,515,9748,2957,389,73,2
"Yerno / nuera (092)",424,,14,370,40,,
"Nieto(a) (093)",1469,127,1181,155,6,,
"Padres / suegros (094)",262,,,,7,78,177
"Otro(a) pariente (095)",943,26,443,275,74,80,45
