"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ACOMAYO (000)",23248,10146,1114,323,11681
"Hombres (001)",11428,4898,615,196,5733
"Mujeres (002)",11820,5248,499,127,5948
"PEA (003)",7899,1845,574,155,5333
"Hombres (004)",5294,1275,368,106,3553
"Mujeres (005)",2605,570,206,49,1780
"Ocupada (006)",7633,1789,568,151,5133
"Hombres (007)",5093,1239,364,103,3395
"Mujeres (008)",2540,550,204,48,1738
"Desocupada (009)",266,56,6,4,200
"Hombres (010)",201,36,4,3,158
"Mujeres (011)",65,20,2,1,42
"No PEA (012)",15349,8301,540,168,6348
"Hombres (013)",6134,3623,247,90,2180
"Mujeres (014)",9215,4678,293,78,4168
,,,,,
"URBANA (018)",12428,4381,894,263,6899
"Hombres (019)",6080,2154,488,160,3286
"Mujeres (020)",6348,2227,406,103,3613
"PEA (021)",4648,750,439,132,3331
"Hombres (022)",2945,477,277,91,2104
"Mujeres (023)",1703,273,162,41,1227
"Ocupada (024)",4486,726,434,128,3202
"Hombres (025)",2826,465,274,88,2003
"Mujeres (026)",1660,261,160,40,1199
"Desocupada (027)",162,24,5,4,129
"Hombres (028)",119,12,3,3,101
"Mujeres (029)",43,12,2,1,28
"No PEA (030)",7780,3631,455,131,3568
"Hombres (031)",3135,1677,211,69,1182
"Mujeres (032)",4645,1954,244,62,2386
,,,,,
"RURAL (036)",10820,5765,220,60,4782
"Hombres (037)",5348,2744,127,36,2447
"Mujeres (038)",5472,3021,93,24,2335
"PEA (039)",3251,1095,135,23,2002
"Hombres (040)",2349,798,91,15,1449
"Mujeres (041)",902,297,44,8,553
"Ocupada (042)",3147,1063,134,23,1931
"Hombres (043)",2267,774,90,15,1392
"Mujeres (044)",880,289,44,8,539
"Desocupada (045)",104,32,1,,71
"Hombres (046)",82,24,1,,57
"Mujeres (047)",22,8,,,14
"No PEA (048)",7569,4670,85,37,2780
"Hombres (049)",2999,1946,36,21,998
"Mujeres (050)",4570,2724,49,16,1782
