"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AMBO (000)",15878,14119,859,289,611
"Empleado (001)",1183,393,123,149,518
"Obrero (002)",2276,1755,312,123,86
"Trabajador independiente (003)",9273,8986,287,,
"Empleador o patrono (004)",265,228,26,4,7
"Trabajador familiar no remunerado (005)",2698,2574,111,13,
"Trabajador del hogar (006)",183,183,,,
"De 06 a 14 años (008)",346,322,23,1,
"Empleado (009)",6,3,3,,
"Obrero (010)",52,42,10,,
"Trabajador independiente (011)",9,9,,,
"Trabajador familiar no remunerado (013)",276,265,10,1,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",5022,4469,308,97,148
"Empleado (017)",366,169,35,35,127
"Obrero (018)",910,704,132,54,20
"Trabajador independiente (019)",2030,1957,73,,
"Empleador o patrono (020)",41,37,2,1,1
"Trabajador familiar no remunerado (021)",1583,1510,66,7,
"Trabajador del hogar (022)",92,92,,,
"De 30 a 44 años (024)",5175,4510,279,108,278
"Empleado (025)",477,129,48,64,236
"Obrero (026)",732,555,100,37,40
"Trabajador independiente (027)",3337,3236,101,,
"Empleador o patrono (028)",112,94,13,3,2
"Trabajador familiar no remunerado (029)",469,448,17,4,
"Trabajador del hogar (030)",48,48,,,
"De 45 a 64 años (032)",3995,3524,216,76,179
"Empleado (033)",318,86,35,45,152
"Obrero (034)",489,368,67,30,24
"Trabajador independiente (035)",2784,2693,91,,
"Empleador o patrono (036)",78,65,10,,3
"Trabajador familiar no remunerado (037)",292,278,13,1,
"Trabajador del hogar (038)",34,34,,,
"De 65 y más años (040)",1340,1294,33,7,6
"Empleado (041)",16,6,2,5,3
"Obrero (042)",93,86,3,2,2
"Trabajador independiente (043)",1113,1091,22,,
"Empleador o patrono (044)",34,32,1,,1
"Trabajador familiar no remunerado (045)",78,73,5,,
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",5083,3997,391,207,488
"Empleado (049)",928,289,94,121,424
"Obrero (050)",800,546,119,77,58
"Trabajador independiente (051)",2689,2560,129,,
"Empleador o patrono (052)",95,73,13,3,6
"Trabajador familiar no remunerado (053)",477,435,36,6,
"Trabajador del hogar (054)",94,94,,,
"De 06 a 14 años (056)",53,45,8,,
"Empleado (057)",6,3,3,,
