"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MELGAR (000)",1651,20,921,509,165,36
"Sin nivel (001)",60,4,8,13,18,17
"Educación inicial (002)",1,,1,,,
"Primaria (003)",427,7,153,166,85,16
"Secundaria (004)",755,9,524,175,46,1
"Superior no univ. incompleta (005)",97,,58,35,4,
"Superior no univ. completa (006)",169,,101,62,5,1
"Superior univ. incompleta (007)",36,,23,10,3,
"Superior univ. completa (008)",106,,53,48,4,1
"Hombres (010)",1170,14,611,380,137,28
"Sin nivel (011)",34,2,6,6,10,10
"Educación inicial (012)",1,,1,,,
"Primaria (013)",288,5,87,108,73,15
"Secundaria (014)",567,7,368,152,39,1
"Superior no univ. incompleta (015)",81,,46,31,4,
"Superior no univ. completa (016)",108,,60,43,4,1
"Superior univ. incompleta (017)",22,,12,7,3,
"Superior univ. completa (018)",69,,31,33,4,1
"Mujeres (020)",481,6,310,129,28,8
"Sin nivel (021)",26,2,2,7,8,7
"Primaria (023)",139,2,66,58,12,1
"Secundaria (024)",188,2,156,23,7,
"Superior no univ. incompleta (025)",16,,12,4,,
"Superior no univ. completa (026)",61,,41,19,1,
"Superior univ. incompleta (027)",14,,11,3,,
"Superior univ. completa (028)",37,,22,15,,
,,,,,,
"Area Urbana (030)",1028,8,531,347,112,30
"Sin nivel (031)",40,1,3,9,13,14
"Educación inicial (032)",1,,1,,,
"Primaria (033)",220,1,50,104,52,13
"Secundaria (034)",439,6,287,113,32,1
"Superior no univ. incompleta (035)",72,,46,23,3,
"Superior no univ. completa (036)",136,,80,50,5,1
"Superior univ. incompleta (037)",33,,21,9,3,
"Superior univ. completa (038)",87,,43,39,4,1
"Hombres (040)",692,5,333,245,87,22
"Sin nivel (041)",21,1,2,4,7,7
"Educación inicial (042)",1,,1,,,
"Primaria (043)",138,,25,60,41,12
"Secundaria (044)",315,4,191,94,25,1
"Superior no univ. incompleta (045)",59,,35,21,3,
"Superior no univ. completa (046)",84,,44,35,4,1
"Superior univ. incompleta (047)",20,,11,6,3,
"Superior univ. completa (048)",54,,24,25,4,1
"Mujeres (050)",336,3,198,102,25,8
"Sin nivel (051)",19,,1,5,6,7
"Primaria (053)",82,1,25,44,11,1
"Secundaria (054)",124,2,96,19,7,
"Superior no univ. incompleta (055)",13,,11,2,,
"Superior no univ. completa (056)",52,,36,15,1,
"Superior univ. incompleta (057)",13,,10,3,,
"Superior univ. completa (058)",33,,19,14,,
,,,,,,
"Area Rural (060)",623,12,390,162,53,6
"Sin nivel (061)",20,3,5,4,5,3
"Primaria (063)",207,6,103,62,33,3
"Secundaria (064)",316,3,237,62,14,
"Superior no univ. incompleta (065)",25,,12,12,1,
"Superior no univ. completa (066)",33,,21,12,,
"Superior univ. incompleta (067)",3,,2,1,,
"Superior univ. completa (068)",19,,10,9,,
"Hombres (070)",478,9,278,135,50,6
"Sin nivel (071)",13,1,4,2,3,3
"Primaria (073)",150,5,62,48,32,3
"Secundaria (074)",252,3,177,58,14,
"Superior no univ. incompleta (075)",22,,11,10,1,
"Superior no univ. completa (076)",24,,16,8,,
"Superior univ. incompleta (077)",2,,1,1,,
"Superior univ. completa (078)",15,,7,8,,
"Mujeres (080)",145,3,112,27,3,
"Sin nivel (081)",7,2,1,2,2,
"Primaria (083)",57,1,41,14,1,
"Secundaria (084)",64,,60,4,,
"Superior no univ. incompleta (085)",3,,1,2,,
"Superior no univ. completa (086)",9,,5,4,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",4,,3,1,,
