"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CAJABAMBA",,,,,,,,,
"Hogares (001)",17596,358,157,84,62,60,36,40,16799
"Ocupantes presentes (002)",74046,1276,582,266,221,257,186,204,71054
"Casa independiente",,,,,,,,,
"Hogares (004)",17305,356,156,82,62,58,36,39,16516
"Ocupantes presentes (005)",72891,1270,580,260,221,249,186,201,69924
"Departamento en edificio",,,,,,,,,
"Hogares (007)",7,,,,,,,,7
"Ocupantes presentes (008)",26,,,,,,,,26
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",45,2,1,,,2,,1,39
"Ocupantes presentes (011)",188,6,2,,,8,,3,169
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",39,,,,,,,,39
"Ocupantes presentes (014)",137,,,,,,,,137
"Choza o cabaña",,,,,,,,,
"Hogares (016)",186,,,2,,,,,184
"Ocupantes presentes (017)",753,,,6,,,,,747
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,,,,,,,2
"Ocupantes presentes (020)",6,,,,,,,,6
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",9,,,,,,,,9
"Ocupantes presentes (023)",35,,,,,,,,35
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,,,,,,,3
"Ocupantes presentes (026)",10,,,,,,,,10
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4481,202,89,47,31,27,14,21,4050
"Ocupantes presentes (029)",17989,719,340,143,99,108,72,83,16425
"Casa independiente",,,,,,,,,
"Hogares (031)",4379,200,88,47,31,25,14,20,3954
"Ocupantes presentes (032)",17597,713,338,143,99,100,72,80,16052
"Departamento en edificio",,,,,,,,,
"Hogares (034)",7,,,,,,,,7
"Ocupantes presentes (035)",26,,,,,,,,26
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",45,2,1,,,2,,1,39
"Ocupantes presentes (038)",188,6,2,,,8,,3,169
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",39,,,,,,,,39
"Ocupantes presentes (041)",137,,,,,,,,137
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,,,,,,,2
"Ocupantes presentes (047)",6,,,,,,,,6
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,,,,,,,6
"Ocupantes presentes (050)",25,,,,,,,,25
"Otro tipo",,,,,,,,,
"Hogares (052)",3,,,,,,,,3
"Ocupantes presentes (053)",10,,,,,,,,10
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",13115,156,68,37,31,33,22,19,12749
"Ocupantes presentes (056)",56057,557,242,123,122,149,114,121,54629
"Casa independiente",,,,,,,,,
"Hogares (058)",12926,156,68,35,31,33,22,19,12562
"Ocupantes presentes (059)",55294,557,242,117,122,149,114,121,53872
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",186,,,2,,,,,184
"Ocupantes presentes (071)",753,,,6,,,,,747
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",10,,,,,,,,10
"Otro tipo",,,,,,,,,
