"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CUSCO (000)",105211,829,25977,31428,15920,6012,2387,588,100,,21970
"Catolica (001)",93152,722,23052,27938,14285,5428,2141,530,89,,18967
"Cristiana / Evangelica (002)",7492,71,2012,2254,1046,341,147,36,3,,1582
"Otra (003)",3150,28,676,887,421,179,72,16,7,,864
"Ninguna (004)",1417,8,237,349,168,64,27,6,1,,557
,,,,,,,,,,,
"URBANA (006)",101222,760,24296,30185,15568,5891,2349,571,98,,21504
"Catolica (007)",89790,662,21654,26895,13991,5321,2110,514,87,,18556
"Cristiana / Evangelica (008)",6959,63,1775,2082,995,329,142,35,3,,1535
"Otra (009)",3084,27,640,872,416,177,70,16,7,,859
"Ninguna (010)",1389,8,227,336,166,64,27,6,1,,554
,,,,,,,,,,,
"RURAL (012)",3989,69,1681,1243,352,121,38,17,2,,466
"Catolica (013)",3362,60,1398,1043,294,107,31,16,2,,411
"Cristiana / Evangelica (014)",533,8,237,172,51,12,5,1,,,47
"Otra (015)",66,1,36,15,5,2,2,,,,5
"Ninguna (016)",28,,10,13,2,,,,,,3
