"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHEPEN (000)",67364,5751,837,24991,22490,3267,4673,2143,3212
"Hombres (001)",33530,1833,433,12678,12190,1604,2015,1112,1665
"Mujeres (002)",33834,3918,404,12313,10300,1663,2658,1031,1547
"PEA (003)",28406,1997,32,8030,10473,1567,3075,913,2319
"Hombres (004)",20310,1126,15,6073,8207,1087,1735,649,1418
"Mujeres (005)",8096,871,17,1957,2266,480,1340,264,901
"Ocupada (006)",26640,1888,30,7576,9745,1458,2886,845,2212
"Hombres (007)",18992,1047,14,5693,7615,1023,1644,605,1351
"Mujeres (008)",7648,841,16,1883,2130,435,1242,240,861
"Desocupada (009)",1766,109,2,454,728,109,189,68,107
"Hombres (010)",1318,79,1,380,592,64,91,44,67
"Mujeres (011)",448,30,1,74,136,45,98,24,40
"No PEA (012)",38958,3754,805,16961,12017,1700,1598,1230,893
"Hombres (013)",13220,707,418,6605,3983,517,280,463,247
"Mujeres (014)",25738,3047,387,10356,8034,1183,1318,767,646
,,,,,,,,,
"URBANA (018)",55320,3984,702,19473,18877,2911,4386,1978,3009
"Hombres (019)",27157,1219,356,9718,10024,1416,1889,1010,1525
"Mujeres (020)",28163,2765,346,9755,8853,1495,2497,968,1484
"PEA (021)",23706,1393,24,6148,8786,1422,2906,844,2183
"Hombres (022)",16360,714,10,4452,6705,964,1622,590,1303
"Mujeres (023)",7346,679,14,1696,2081,458,1284,254,880
"Ocupada (024)",22281,1312,22,5822,8200,1328,2731,782,2084
"Hombres (025)",15338,660,9,4185,6241,913,1539,551,1240
"Mujeres (026)",6943,652,13,1637,1959,415,1192,231,844
"Desocupada (027)",1425,81,2,326,586,94,175,62,99
"Hombres (028)",1022,54,1,267,464,51,83,39,63
"Mujeres (029)",403,27,1,59,122,43,92,23,36
"No PEA (030)",31614,2591,678,13325,10091,1489,1480,1134,826
"Hombres (031)",10797,505,346,5266,3319,452,267,420,222
"Mujeres (032)",20817,2086,332,8059,6772,1037,1213,714,604
,,,,,,,,,
"RURAL (036)",12044,1767,135,5518,3613,356,287,165,203
"Hombres (037)",6373,614,77,2960,2166,188,126,102,140
"Mujeres (038)",5671,1153,58,2558,1447,168,161,63,63
"PEA (039)",4700,604,8,1882,1687,145,169,69,136
"Hombres (040)",3950,412,5,1621,1502,123,113,59,115
"Mujeres (041)",750,192,3,261,185,22,56,10,21
"Ocupada (042)",4359,576,8,1754,1545,130,155,63,128
"Hombres (043)",3654,387,5,1508,1374,110,105,54,111
"Mujeres (044)",705,189,3,246,171,20,50,9,17
"Desocupada (045)",341,28,,128,142,15,14,6,8
"Hombres (046)",296,25,,113,128,13,8,5,4
"Mujeres (047)",45,3,,15,14,2,6,1,4
"No PEA (048)",7344,1163,127,3636,1926,211,118,96,67
"Hombres (049)",2423,202,72,1339,664,65,13,43,25
"Mujeres (050)",4921,961,55,2297,1262,146,105,53,42
