"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SECHURA (000)",19445,14292,2477,1057,1619
"Sin nivel (001)",437,384,31,9,13
"Educación inicial (002)",57,39,9,2,7
"Primaria (003)",8229,6513,1057,326,333
"Secundaria (004)",6592,4999,867,304,422
"Superior no univ. incompleta (005)",1048,750,126,60,112
"Superior no univ. completa (006)",1738,928,214,199,397
"Superior univ. incompleta (007)",567,350,61,48,108
"Superior univ. completa (008)",777,329,112,109,227
"De 06 a 14 años (010)",528,423,65,14,26
"Sin nivel (011)",10,8,1,,1
"Educación inicial (012)",11,9,,,2
"Primaria (013)",387,317,44,12,14
"Secundaria (014)",120,89,20,2,9
"De 15 a 29 años (020)",7906,5584,1167,436,719
"Sin nivel (021)",69,58,7,2,2
"Educación inicial (022)",30,21,4,2,3
"Primaria (023)",2485,1794,414,132,145
"Secundaria (024)",3412,2565,511,152,184
"Superior no univ. incompleta (025)",575,404,70,29,72
"Superior no univ. completa (026)",795,423,100,75,197
"Superior univ. incompleta (027)",294,201,27,20,46
"Superior univ. completa (028)",246,118,34,24,70
"De 30 a 44 años (030)",6169,4384,802,409,574
"Sin nivel (031)",106,87,13,4,2
"Educación inicial (032)",16,9,5,,2
"Primaria (033)",2353,1820,340,99,94
"Secundaria (034)",2149,1631,257,109,152
"Superior no univ. incompleta (035)",337,245,36,23,33
"Superior no univ. completa (036)",696,365,81,96,154
"Superior univ. incompleta (037)",167,94,19,19,35
"Superior univ. completa (038)",345,133,51,59,102
"De 45 a 64 años (040)",4001,3118,404,191,288
"Sin nivel (041)",168,151,8,2,7
"Primaria (043)",2357,1971,235,79,72
"Secundaria (044)",845,658,71,41,75
"Superior no univ. incompleta (045)",124,93,16,8,7
"Superior no univ. completa (046)",230,124,33,27,46
"Superior univ. incompleta (047)",99,51,14,8,26
"Superior univ. completa (048)",178,70,27,26,55
"De 65 y más años (050)",841,783,39,7,12
"Sin nivel (051)",84,80,2,1,1
"Primaria (053)",647,611,24,4,8
"Secundaria (054)",66,56,8,,2
"Superior no univ. incompleta (055)",12,8,4,,
"Superior no univ. completa (056)",17,16,,1,
"Superior univ. incompleta (057)",7,4,1,1,1
"Superior univ. completa (058)",8,8,,,
,,,,,
