"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LUYA (000)",16418,16060,4336,1959,1892,1568,2477,1765,1189,874,358,52593
"De 12 a 14 años (001)",1825,1810,1802,6,2,,,,,,15,10
"De 15 a 19 años (002)",2052,2019,1641,328,43,6,1,,,,33,436
"De 20 a 24 años (003)",1573,1478,314,642,362,114,43,3,,,95,1906
"De 25 a 29 años (004)",1592,1524,128,376,493,299,212,16,,,68,3268
"De 30 a 34 años (005)",1379,1348,62,177,306,311,366,104,19,3,31,4160
"De 35 a 39 años (006)",1384,1367,54,103,235,252,426,215,69,13,17,5302
"De 40 a 44 años (007)",1200,1176,43,60,127,170,305,278,141,52,24,5730
"De 45 a 49 años (008)",1015,1004,37,58,85,91,253,213,173,94,11,5497
"De 50 y más años (009)",4398,4334,255,209,239,325,871,936,787,712,64,26284
"PEA (010)",3099,2990,490,502,518,377,471,291,194,147,109,9874
"De 12 a 14 años (011)",50,49,48,,1,,,,,,1,2
"De 15 a 19 años (012)",203,200,158,38,4,,,,,,3,46
"De 20 a 24 años (013)",331,301,104,118,59,10,9,1,,,30,311
"De 25 a 29 años (014)",380,348,54,125,93,41,33,2,,,32,585
"De 30 a 34 años (015)",366,348,35,79,104,58,55,16,1,,18,806
"De 35 a 39 años (016)",415,408,17,42,110,89,97,38,13,2,7,1319
"De 40 a 44 años (017)",340,332,16,26,57,76,77,52,21,7,8,1294
"De 45 a 49 años (018)",269,266,12,23,38,33,60,48,32,20,3,1260
"De 50 y más años (019)",745,738,46,51,52,70,140,134,127,118,7,4251
"Ocupada (020)",3050,2944,467,494,517,376,462,291,190,147,106,9789
"De 12 a 14 años (021)",46,45,44,,1,,,,,,1,2
"De 15 a 19 años (022)",191,188,147,37,4,,,,,,3,45
