"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia EL COLLAO (000)",77567,11234,3797,1320,61276
"Quechua (001)",503,52,58,31,368
"Aymara (002)",59347,7311,1837,579,49641
"Asháninka (003)",116,21,,,95
"Otra lengua nativa (004)",17,5,,,12
"Castellano (005)",17505,3826,1902,709,11101
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",78,19,,1,58
"Hombres (009)",39387,5579,2022,982,30847
"Quechua (010)",249,24,35,27,167
"Aymara (011)",29649,3578,992,385,24708
"Asháninka (012)",58,12,,,46
"Otra lengua nativa (013)",10,2,,,8
"Castellano (014)",9373,1950,995,569,5884
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",47,13,,1,33
"Mujeres (018)",38180,5655,1775,338,30429
"Quechua (019)",254,28,23,4,201
"Aymara (020)",29698,3733,845,194,24933
"Asháninka (021)",58,9,,,49
"Otra lengua nativa (022)",7,3,,,4
"Castellano (023)",8132,1876,907,140,5217
"Es Sordomudo/a (025)",31,6,,,25
,,,,,
"URBANA (027)",24305,2934,2791,918,17694
"Quechua (028)",337,23,46,9,261
"Aymara (029)",12143,1040,1043,305,9765
"Asháninka (030)",32,9,,,23
"Otra lengua nativa (031)",6,1,,,5
"Castellano (032)",11772,1858,1702,603,7629
"Es Sordomudo/a (034)",15,3,,1,11
"Hombres (036)",12506,1457,1440,709,8923
"Quechua (037)",156,9,27,5,115
"Aymara (038)",6179,515,559,215,4898
"Asháninka (039)",12,4,,,8
"Otra lengua nativa (040)",4,,,,4
"Castellano (041)",6147,927,854,488,3893
"Es Sordomudo/a (043)",8,2,,1,5
"Mujeres (045)",11799,1477,1351,209,8771
"Quechua (046)",181,14,19,4,146
"Aymara (047)",5964,525,484,90,4867
"Asháninka (048)",20,5,,,15
"Otra lengua nativa (049)",2,1,,,1
"Castellano (050)",5625,931,848,115,3736
"Es Sordomudo/a (052)",7,1,,,6
,,,,,
"RURAL (054)",53262,8300,1006,402,43582
"Quechua (055)",166,29,12,22,107
"Aymara (056)",47204,6271,794,274,39876
"Asháninka (057)",84,12,,,72
"Otra lengua nativa (058)",11,4,,,7
"Castellano (059)",5733,1968,200,106,3472
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",63,16,,,47
"Hombres (063)",26881,4122,582,273,21924
"Quechua (064)",93,15,8,22,52
"Aymara (065)",23470,3063,433,170,19810
"Asháninka (066)",46,8,,,38
"Otra lengua nativa (067)",6,2,,,4
"Castellano (068)",3226,1023,141,81,1991
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",39,11,,,28
"Mujeres (072)",26381,4178,424,129,21658
"Quechua (073)",73,14,4,,55
"Aymara (074)",23734,3208,361,104,20066
"Asháninka (075)",38,4,,,34
"Otra lengua nativa (076)",5,2,,,3
"Castellano (077)",2507,945,59,25,1481
"Es Sordomudo/a (079)",24,5,,,19
