"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CARAVELI (000)",457,77,380
"De 14 a 29 años (001)",210,65,145
"De 30 a 44 años (002)",144,12,132
"De 45 a 64 años (003)",75,,75
"De 65 y más años (004)",28,,28
"Hombres (005)",343,50,293
"De 14 a 29 años (006)",140,43,97
"De 30 a 44 años (007)",112,7,105
"De 45 a 64 años (008)",65,,65
"De 65 y más años (009)",26,,26
"Mujeres (010)",114,27,87
"De 14 a 29 años (011)",70,22,48
"De 30 a 44 años (012)",32,5,27
"De 45 a 64 años (013)",10,,10
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",370,60,310
"De 14 a 29 años (016)",167,53,114
"De 30 a 44 años (017)",118,7,111
"De 45 a 64 años (018)",60,,60
"De 65 y más años (019)",25,,25
"Hombres (020)",273,39,234
"De 14 a 29 años (021)",109,35,74
"De 30 a 44 años (022)",90,4,86
"De 45 a 64 años (023)",51,,51
"De 65 y más años (024)",23,,23
"Mujeres (025)",97,21,76
"De 14 a 29 años (026)",58,18,40
"De 30 a 44 años (027)",28,3,25
"De 45 a 64 años (028)",9,,9
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",87,17,70
"De 14 a 29 años (031)",43,12,31
"De 30 a 44 años (032)",26,5,21
"De 45 a 64 años (033)",15,,15
"De 65 y más años (034)",3,,3
"Hombres (035)",70,11,59
"De 14 a 29 años (036)",31,8,23
"De 30 a 44 años (037)",22,3,19
"De 45 a 64 años (038)",14,,14
"De 65 y más años (039)",3,,3
"Mujeres (040)",17,6,11
"De 14 a 29 años (041)",12,4,8
"De 30 a 44 años (042)",4,2,2
"De 45 a 64 años (043)",1,,1
