"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MARISCAL LUZURIAGA (000)",12714,11951,763
"Hombres (001)",6076,5838,238
"Mujeres (002)",6638,6113,525
"De 18 a 29 años (003)",3996,3877,119
"Hombres (004)",1998,1944,54
"Mujeres (005)",1998,1933,65
"De 30 a 44 años (006)",3645,3577,68
"Hombres (007)",1776,1752,24
"Mujeres (008)",1869,1825,44
"De 45 a 64 años (009)",3167,3003,164
"Hombres (010)",1476,1423,53
"Mujeres (011)",1691,1580,111
"De 65 y más años (012)",1906,1494,412
"Hombres (013)",826,719,107
"Mujeres (014)",1080,775,305
,,,
"URBANA (015)",1768,1717,51
"Hombres (016)",887,877,10
"Mujeres (017)",881,840,41
"De 18 a 29 años (018)",481,474,7
"Hombres (019)",243,239,4
"Mujeres (020)",238,235,3
"De 30 a 44 años (021)",616,613,3
"Hombres (022)",324,323,1
"Mujeres (023)",292,290,2
"De 45 a 64 años (024)",435,424,11
"Hombres (025)",218,217,1
"Mujeres (026)",217,207,10
"De 65 y más años (027)",236,206,30
"Hombres (028)",102,98,4
"Mujeres (029)",134,108,26
,,,
"RURAL (030)",10946,10234,712
"Hombres (031)",5189,4961,228
"Mujeres (032)",5757,5273,484
"De 18 a 29 años (033)",3515,3403,112
"Hombres (034)",1755,1705,50
"Mujeres (035)",1760,1698,62
"De 30 a 44 años (036)",3029,2964,65
"Hombres (037)",1452,1429,23
"Mujeres (038)",1577,1535,42
"De 45 a 64 años (039)",2732,2579,153
"Hombres (040)",1258,1206,52
"Mujeres (041)",1474,1373,101
"De 65 y más años (042)",1670,1288,382
"Hombres (043)",724,621,103
"Mujeres (044)",946,667,279
