"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHOTA (000)",1996,698,1298
"De 14 a 29 años (001)",1032,515,517
"De 30 a 44 años (002)",581,147,434
"De 45 a 64 años (003)",306,36,270
"De 65 y más años (004)",77,,77
"Hombres (005)",1621,497,1124
"De 14 a 29 años (006)",756,350,406
"De 30 a 44 años (007)",502,115,387
"De 45 a 64 años (008)",287,32,255
"De 65 y más años (009)",76,,76
"Mujeres (010)",375,201,174
"De 14 a 29 años (011)",276,165,111
"De 30 a 44 años (012)",79,32,47
"De 45 a 64 años (013)",19,4,15
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",557,162,395
"De 14 a 29 años (016)",280,118,162
"De 30 a 44 años (017)",181,37,144
"De 45 a 64 años (018)",79,7,72
"De 65 y más años (019)",17,,17
"Hombres (020)",370,79,291
"De 14 a 29 años (021)",168,58,110
"De 30 a 44 años (022)",120,17,103
"De 45 a 64 años (023)",65,4,61
"De 65 y más años (024)",17,,17
"Mujeres (025)",187,83,104
"De 14 a 29 años (026)",112,60,52
"De 30 a 44 años (027)",61,20,41
"De 45 a 64 años (028)",14,3,11
,,,
"AREA RURAL (030)",1439,536,903
"De 14 a 29 años (031)",752,397,355
"De 30 a 44 años (032)",400,110,290
"De 45 a 64 años (033)",227,29,198
"De 65 y más años (034)",60,,60
"Hombres (035)",1251,418,833
"De 14 a 29 años (036)",588,292,296
"De 30 a 44 años (037)",382,98,284
"De 45 a 64 años (038)",222,28,194
"De 65 y más años (039)",59,,59
"Mujeres (040)",188,118,70
"De 14 a 29 años (041)",164,105,59
"De 30 a 44 años (042)",18,12,6
"De 45 a 64 años (043)",5,1,4
"De 65 y más años (044)",1,,1
