"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia QUISPICANCHI (000)",20320,256,7535,6533,1765,521,268,118,21,,3303
"Catolica (001)",15855,207,5817,5073,1434,430,214,90,17,,2573
"Cristiana / Evangelica (002)",3613,41,1409,1170,258,80,45,22,3,,585
"Otra (003)",691,5,241,245,59,11,8,6,1,,115
"Ninguna (004)",161,3,68,45,14,,1,,,,30
,,,,,,,,,,,
"URBANA (006)",7731,92,2585,2402,880,257,135,43,9,,1328
"Catolica (007)",6777,82,2238,2120,797,236,121,36,8,,1139
"Cristiana / Evangelica (008)",705,7,273,194,56,20,11,5,,,139
"Otra (009)",191,2,60,66,18,1,3,2,1,,38
"Ninguna (010)",58,1,14,22,9,,,,,,12
,,,,,,,,,,,
"RURAL (012)",12589,164,4950,4131,885,264,133,75,12,,1975
"Catolica (013)",9078,125,3579,2953,637,194,93,54,9,,1434
"Cristiana / Evangelica (014)",2908,34,1136,976,202,60,34,17,3,,446
"Otra (015)",500,3,181,179,41,10,5,4,,,77
"Ninguna (016)",103,2,54,23,5,,1,,,,18
