"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PAUCARTAMBO (000)",23202,17018,6184
"De 3 a 5 años (001)",4084,233,3851
"De 6 a 11 años (002)",7903,6407,1496
"De 12 a 16 años (003)",5627,5434,193
"De 17 a 24 años (004)",5588,4944,644
"Hombres (005)",11742,8833,2909
"De 3 a 5 años (006)",2062,106,1956
"De 6 a 11 años (007)",3963,3226,737
"De 12 a 16 años (008)",2859,2798,61
"De 17 a 24 años (009)",2858,2703,155
"Mujeres (010)",11460,8185,3275
"De 3 a 5 años (011)",2022,127,1895
"De 6 a 11 años (012)",3940,3181,759
"De 12 a 16 años (013)",2768,2636,132
"De 17 a 24 años (014)",2730,2241,489
,,,
"URBANA (015)",4089,3346,743
"De 3 a 5 años (016)",638,56,582
"De 6 a 11 años (017)",1277,1165,112
"De 12 a 16 años (018)",1081,1073,8
"De 17 a 24 años (019)",1093,1052,41
"Hombres (020)",2014,1643,371
"De 3 a 5 años (021)",325,27,298
"De 6 a 11 años (022)",630,575,55
"De 12 a 16 años (023)",517,513,4
"De 17 a 24 años (024)",542,528,14
"Mujeres (025)",2075,1703,372
"De 3 a 5 años (026)",313,29,284
"De 6 a 11 años (027)",647,590,57
"De 12 a 16 años (028)",564,560,4
"De 17 a 24 años (029)",551,524,27
,,,
"RURAL (030)",19113,13672,5441
"De 3 a 5 años (031)",3446,177,3269
"De 6 a 11 años (032)",6626,5242,1384
"De 12 a 16 años (033)",4546,4361,185
"De 17 a 24 años (034)",4495,3892,603
"Hombres (035)",9728,7190,2538
"De 3 a 5 años (036)",1737,79,1658
"De 6 a 11 años (037)",3333,2651,682
"De 12 a 16 años (038)",2342,2285,57
"De 17 a 24 años (039)",2316,2175,141
"Mujeres (040)",9385,6482,2903
"De 3 a 5 años (041)",1709,98,1611
"De 6 a 11 años (042)",3293,2591,702
"De 12 a 16 años (043)",2204,2076,128
"De 17 a 24 años (044)",2179,1717,462
