"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN IGNACIO (000)",28848,541,14582,7890,1969,546,222,64,9,,3025
"Sin Nivel (001)",6253,168,3323,1635,405,129,61,26,3,,503
"Educación Inicial (002)",28,,12,8,,,,,,,8
"Primaria (003)",15484,312,8567,4048,813,223,102,30,4,,1385
"Secundaria (004)",5295,56,2406,1598,385,80,29,5,2,,734
"Sup. no Univ. Incompleta (005)",444,2,109,171,54,7,5,1,,,95
"Sup. no Univ. Completa (006)",614,,74,233,137,49,8,,,,113
"Sup. Univ. Incompleta (007)",208,1,46,60,29,7,1,,,,64
"Sup. Univ. Completa (008)",522,2,45,137,146,51,16,2,,,123
,,,,,,,,,,,
"URBANA (010)",4957,69,2029,1474,510,176,71,19,4,,605
"Sin Nivel (011)",512,13,262,117,35,20,4,5,,,56
"Educación Inicial (012)",3,,1,2,,,,,,,
"Primaria (013)",1803,34,905,511,118,55,37,11,3,,129
"Secundaria (014)",1547,20,696,461,135,31,13,2,1,,188
"Sup. no Univ. Incompleta (015)",256,1,63,105,30,5,1,,,,51
"Sup. no Univ. Completa (016)",385,,48,149,83,28,5,,,,72
"Sup. Univ. Incompleta (017)",128,,28,42,18,5,1,,,,34
"Sup. Univ. Completa (018)",323,1,26,87,91,32,10,1,,,75
,,,,,,,,,,,
"RURAL (020)",23891,472,12553,6416,1459,370,151,45,5,,2420
"Sin Nivel (021)",5741,155,3061,1518,370,109,57,21,3,,447
"Educación Inicial (022)",25,,11,6,,,,,,,8
"Primaria (023)",13681,278,7662,3537,695,168,65,19,1,,1256
"Secundaria (024)",3748,36,1710,1137,250,49,16,3,1,,546
"Sup. no Univ. Incompleta (025)",188,1,46,66,24,2,4,1,,,44
"Sup. no Univ. Completa (026)",229,,26,84,54,21,3,,,,41
"Sup. Univ. Incompleta (027)",80,1,18,18,11,2,,,,,30
"Sup. Univ. Completa (028)",199,1,19,50,55,19,6,1,,,48
