"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PACASMAYO (000)",38469,32825,5644
"De 3 a 5 años (001)",5270,624,4646
"De 6 a 11 años (002)",10428,9829,599
"De 12 a 16 años (003)",10086,9942,144
"De 17 a 24 años (004)",12685,12430,255
"Hombres (005)",19268,16435,2833
"De 3 a 5 años (006)",2663,320,2343
"De 6 a 11 años (007)",5212,4916,296
"De 12 a 16 años (008)",5053,4979,74
"De 17 a 24 años (009)",6340,6220,120
"Mujeres (010)",19201,16390,2811
"De 3 a 5 años (011)",2607,304,2303
"De 6 a 11 años (012)",5216,4913,303
"De 12 a 16 años (013)",5033,4963,70
"De 17 a 24 años (014)",6345,6210,135
,,,
"URBANA (015)",35618,30476,5142
"De 3 a 5 años (016)",4869,591,4278
"De 6 a 11 años (017)",9646,9111,535
"De 12 a 16 años (018)",9397,9277,120
"De 17 a 24 años (019)",11706,11497,209
"Hombres (020)",17797,15221,2576
"De 3 a 5 años (021)",2449,300,2149
"De 6 a 11 años (022)",4819,4553,266
"De 12 a 16 años (023)",4704,4642,62
"De 17 a 24 años (024)",5825,5726,99
"Mujeres (025)",17821,15255,2566
"De 3 a 5 años (026)",2420,291,2129
"De 6 a 11 años (027)",4827,4558,269
"De 12 a 16 años (028)",4693,4635,58
"De 17 a 24 años (029)",5881,5771,110
,,,
"RURAL (030)",2851,2349,502
"De 3 a 5 años (031)",401,33,368
"De 6 a 11 años (032)",782,718,64
"De 12 a 16 años (033)",689,665,24
"De 17 a 24 años (034)",979,933,46
"Hombres (035)",1471,1214,257
"De 3 a 5 años (036)",214,20,194
"De 6 a 11 años (037)",393,363,30
"De 12 a 16 años (038)",349,337,12
"De 17 a 24 años (039)",515,494,21
"Mujeres (040)",1380,1135,245
"De 3 a 5 años (041)",187,13,174
"De 6 a 11 años (042)",389,355,34
"De 12 a 16 años (043)",340,328,12
"De 17 a 24 años (044)",464,439,25
