"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJAMARCA (000)",232,209,23
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",113,113,
"Casa pensión (003)",14,12,2
"Hospital, clinica (004)",8,8,
"Cárcel, centro de readaptación social (005)",3,2,1
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",84,65,19
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,7,1
