"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia UTCUBAMBA (000)",101484,28327,9396,3006,60915
"Quechua (001)",115,38,8,10,63
"Aymara (002)",20,4,5,5,8
"Asháninka (003)",9,3,2,2,3
"Otra lengua nativa (004)",187,16,4,117,54
"Castellano (005)",100958,28220,9373,2868,60646
"Idioma Extranjero (006)",1,,,1,
"Es Sordomudo/a (007)",194,46,4,3,141
"Hombres (009)",53062,13819,4738,2006,32623
"Quechua (010)",63,22,4,6,32
"Aymara (011)",9,,3,3,3
"Asháninka (012)",6,2,2,2,1
"Otra lengua nativa (013)",168,15,2,114,40
"Castellano (014)",52712,13761,4726,1877,32467
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",103,19,1,3,80
"Mujeres (018)",48422,14508,4658,1000,28292
"Quechua (019)",52,16,4,4,31
"Aymara (020)",11,4,2,2,5
"Asháninka (021)",3,1,,,2
"Otra lengua nativa (022)",19,1,2,3,14
"Castellano (023)",48246,14459,4647,991,28179
"Es Sordomudo/a (025)",91,27,3,,61
,,,,,
"URBANA (027)",44194,9115,7250,2427,25531
"Quechua (028)",97,33,5,9,52
"Aymara (029)",18,4,5,5,6
"Asháninka (030)",6,,2,1,3
"Otra lengua nativa (031)",177,15,4,117,45
"Castellano (032)",43834,9044,7230,2292,25389
"Idioma Extranjero (033)",1,,,1,
"Es Sordomudo/a (034)",61,19,4,2,36
"Hombres (036)",22839,4415,3624,1688,13220
"Quechua (037)",52,19,3,6,25
"Aymara (038)",8,,3,3,2
"Asháninka (039)",4,,2,1,1
"Otra lengua nativa (040)",162,14,2,114,35
"Castellano (041)",22580,4375,3613,1561,13135
"Idioma Extranjero (042)",1,,,1,
"Es Sordomudo/a (043)",32,7,1,2,22
"Mujeres (045)",21355,4700,3626,739,12311
"Quechua (046)",45,14,2,3,27
"Aymara (047)",10,4,2,2,4
"Asháninka (048)",2,,,,2
"Otra lengua nativa (049)",15,1,2,3,10
"Castellano (050)",21254,4669,3617,731,12254
"Es Sordomudo/a (052)",29,12,3,,14
,,,,,
"RURAL (054)",57290,19212,2146,579,35384
"Quechua (055)",18,5,3,1,11
"Aymara (056)",2,,,,2
"Asháninka (057)",3,3,,1,
"Otra lengua nativa (058)",10,1,,,9
"Castellano (059)",57124,19176,2143,576,35257
"Es Sordomudo/a (061)",133,27,,1,105
"Hombres (063)",30223,9404,1114,318,19403
"Quechua (064)",11,3,1,,7
"Aymara (065)",1,,,,1
"Asháninka (066)",2,2,,1,
"Otra lengua nativa (067)",6,1,,,5
"Castellano (068)",30132,9386,1113,316,19332
"Es Sordomudo/a (070)",71,12,,1,58
"Mujeres (072)",27067,9808,1032,261,15981
"Quechua (073)",7,2,2,1,4
"Aymara (074)",1,,,,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",4,,,,4
"Castellano (077)",26992,9790,1030,260,15925
"Es Sordomudo/a (079)",62,15,,,47
