"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ZARUMILLA (000)",30817,5745,3168,1825,20159
"Conviviente (001)",10525,1999,736,271,7538
"Separado(a) (002)",1399,197,94,41,1067
"Casado(a) (003)",7174,1186,1268,551,4203
"Viudo(a) (004)",714,148,65,46,456
"Divorciado(a) (005)",74,6,8,5,55
"Soltero(a) (006)",10931,2209,997,911,6840
"Hombres (008)",16424,2462,1715,1347,10969
"Conviviente (009)",5249,693,416,174,3978
"Separado(a) (010)",500,51,30,17,402
"Casado(a) (011)",3683,480,679,362,2194
"Viudo(a) (012)",225,36,24,18,148
"Divorciado(a) (013)",34,1,5,4,24
"Soltero(a) (014)",6733,1201,561,772,4223
"Mujeres (016)",14393,3283,1453,478,9190
"Conviviente (017)",5276,1306,320,97,3560
"Separado(a) (018)",899,146,64,24,665
"Casado(a) (019)",3491,706,589,189,2009
"Viudo(a) (020)",489,112,41,28,308
"Divorciado(a) (021)",40,5,3,1,31
"Soltero(a) (022)",4198,1008,436,139,2617
,,,,,
"URBANA (024)",28056,4761,3061,1798,18513
"Conviviente (025)",9636,1656,717,266,7015
"Separado(a) (026)",1287,173,92,39,983
"Casado(a) (027)",6469,935,1214,540,3812
"Viudo(a) (028)",633,119,64,43,408
"Divorciado(a) (029)",69,5,7,5,52
"Soltero(a) (030)",9962,1873,967,905,6243
"Hombres (032)",14884,2013,1662,1328,9948
"Conviviente (033)",4804,562,406,169,3679
"Separado(a) (034)",439,40,30,17,352
"Casado(a) (035)",3327,372,653,355,1977
"Viudo(a) (036)",191,27,23,16,126
"Divorciado(a) (037)",31,1,4,4,22
"Soltero(a) (038)",6092,1011,546,767,3792
"Mujeres (040)",13172,2748,1399,470,8565
"Conviviente (041)",4832,1094,311,97,3336
"Separado(a) (042)",848,133,62,22,631
"Casado(a) (043)",3142,563,561,185,1835
"Viudo(a) (044)",442,92,41,27,282
"Divorciado(a) (045)",38,4,3,1,30
"Soltero(a) (046)",3870,862,421,138,2451
,,,,,
"RURAL (048)",2761,984,107,27,1646
"Conviviente (049)",889,343,19,5,523
"Separado(a) (050)",112,24,2,2,84
"Casado(a) (051)",705,251,54,11,391
"Viudo(a) (052)",81,29,1,3,48
"Divorciado(a) (053)",5,1,1,,3
"Soltero(a) (054)",969,336,30,6,597
"Hombres (056)",1540,449,53,19,1021
"Conviviente (057)",445,131,10,5,299
"Separado(a) (058)",61,11,,,50
"Casado(a) (059)",356,108,26,7,217
"Viudo(a) (060)",34,9,1,2,22
"Divorciado(a) (061)",3,,1,,2
"Soltero(a) (062)",641,190,15,5,431
"Mujeres (064)",1221,535,54,8,625
"Conviviente (065)",444,212,9,,224
"Separado(a) (066)",51,13,2,2,34
"Casado(a) (067)",349,143,28,4,174
"Viudo(a) (068)",47,20,,1,26
"Divorciado(a) (069)",2,1,,,1
"Soltero(a) (070)",328,146,15,1,166
