"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JAUJA (000)",38,34,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",11,11,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",13,10,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",11,10,1
