"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ACOMAYO (000)",25449,12029,1189,352,11898
"Quechua (001)",22262,10607,793,259,10617
"Aymara (002)",12,6,,2,5
"Asháninka (003)",2,2,,1,
"Otra lengua nativa (004)",4,,,,4
"Castellano (005)",3117,1388,393,90,1249
"Es Sordomudo/a (007)",52,26,3,,23
"Hombres (009)",12555,5858,655,213,5846
"Quechua (010)",10792,5105,426,157,5116
"Aymara (011)",9,6,,2,2
"Asháninka (012)",2,2,,1,
"Otra lengua nativa (013)",2,,,,2
"Castellano (014)",1714,728,227,53,709
"Es Sordomudo/a (016)",36,17,2,,17
"Mujeres (018)",12894,6171,534,139,6052
"Quechua (019)",11470,5502,367,102,5501
"Aymara (020)",3,,,,3
"Otra lengua nativa (022)",2,,,,2
"Castellano (023)",1403,660,166,37,540
"Es Sordomudo/a (025)",16,9,1,,6
,,,,,
"URBANA (027)",13549,5273,959,289,7038
"Quechua (028)",11087,4261,599,199,6033
"Aymara (029)",10,5,,2,4
"Asháninka (030)",2,2,,1,
"Otra lengua nativa (031)",2,,,,2
"Castellano (032)",2421,993,357,87,987
"Es Sordomudo/a (034)",27,12,3,,12
"Hombres (036)",6645,2598,522,174,3360
"Quechua (037)",5297,2055,317,120,2809
"Aymara (038)",8,5,,2,2
"Asháninka (039)",2,2,,1,
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",1317,528,203,51,538
"Es Sordomudo/a (043)",20,8,2,,10
"Mujeres (045)",6904,2675,437,115,3678
"Quechua (046)",5790,2206,282,79,3224
"Aymara (047)",2,,,,2
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",1104,465,154,36,449
"Es Sordomudo/a (052)",7,4,1,,2
,,,,,
"RURAL (054)",11900,6756,230,63,4860
"Quechua (055)",11175,6346,194,60,4584
"Aymara (056)",2,1,,,1
"Otra lengua nativa (058)",2,,,,2
"Castellano (059)",696,395,36,3,262
"Es Sordomudo/a (061)",25,14,,,11
"Hombres (063)",5910,3260,133,39,2486
"Quechua (064)",5495,3050,109,37,2307
"Aymara (065)",1,1,,,
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",397,200,24,2,171
"Es Sordomudo/a (070)",16,9,,,7
"Mujeres (072)",5990,3496,97,24,2374
"Quechua (073)",5680,3296,85,23,2277
"Aymara (074)",1,,,,1
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",299,195,12,1,91
"Es Sordomudo/a (079)",9,5,,,4
