"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SULLANA (000)",287680,5846,82189,78705,59368,43444,18128
"Hombres (001)",142411,2873,41617,38612,28723,21663,8923
"Mujeres (002)",145269,2973,40572,40093,30645,21781,9205
"Viviendas particulares (003)",285727,5796,82120,77574,58973,43207,18057
"Hombres (004)",141021,2842,41581,37720,28484,21515,8879
"Mujeres (005)",144706,2954,40539,39854,30489,21692,9178
"Viviendas colectivas (006)",1580,46,43,1004,294,152,41
"Hombres (007)",1158,28,21,836,160,87,26
"Mujeres (008)",422,18,22,168,134,65,15
"Otro tipo (009)",373,4,26,127,101,85,30
"Hombres (010)",232,3,15,56,79,61,18
"Mujeres (011)",141,1,11,71,22,24,12
,,,,,,,
"URBANA (012)",258723,5272,73385,70689,53858,39403,16116
"Hombres (013)",127295,2629,37127,34406,25874,19480,7779
"Mujeres (014)",131428,2643,36258,36283,27984,19923,8337
"Viviendas particulares (015)",256988,5222,73317,69747,53482,39175,16045
"Hombres (016)",126118,2598,37092,33700,25652,19341,7735
"Mujeres (017)",130870,2624,36225,36047,27830,19834,8310
"Viviendas colectivas (018)",1362,46,42,815,275,143,41
"Hombres (019)",945,28,20,650,143,78,26
"Mujeres (020)",417,18,22,165,132,65,15
"Otro tipo (021)",373,4,26,127,101,85,30
"Hombres (022)",232,3,15,56,79,61,18
"Mujeres (023)",141,1,11,71,22,24,12
,,,,,,,
"RURAL (024)",28957,574,8804,8016,5510,4041,2012
"Hombres (025)",15116,244,4490,4206,2849,2183,1144
"Mujeres (026)",13841,330,4314,3810,2661,1858,868
"Viviendas particulares (027)",28739,574,8803,7827,5491,4032,2012
"Hombres (028)",14903,244,4489,4020,2832,2174,1144
"Mujeres (029)",13836,330,4314,3807,2659,1858,868
"Viviendas colectivas (030)",218,,1,189,19,9,
"Hombres (031)",213,,1,186,17,9,
"Mujeres (032)",5,,,3,2,,
