"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia ALTO AMAZONAS",,,,,,,,
"Hogares (001)",21478,11554,6991,2698,462,2596,919,7129
"Ocupantes presentes (002)",103588,56510,32756,12671,2046,11718,4109,34087
"Casa independiente",,,,,,,,
"Hogares (004)",15555,8350,6697,2546,445,2529,895,4571
"Ocupantes presentes (005)",74026,40116,31675,12016,1979,11458,4024,21533
"Departamento en edificio",,,,,,,,
"Hogares (007)",19,12,14,9,4,8,7,1
"Ocupantes presentes (008)",71,51,53,34,18,31,27,1
"Vivienda en quinta",,,,,,,,
"Hogares (010)",305,142,162,52,10,39,13,92
"Ocupantes presentes (011)",936,434,522,175,35,146,45,268
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",67,32,38,9,1,9,1,20
"Ocupantes presentes (014)",260,126,155,36,8,39,4,72
"Choza o cabaña",,,,,,,,
"Hogares (016)",5381,2963,33,72,,5,1,2376
"Ocupantes presentes (017)",27721,15571,172,383,,27,3,11949
"Vivienda improvisada",,,,,,,,
"Hogares (019)",114,43,34,6,1,3,1,54
"Ocupantes presentes (020)",467,168,141,18,5,11,5,222
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",30,11,11,4,1,3,1,11
"Ocupantes presentes (023)",90,40,33,9,1,6,1,34
"Otro tipo",,,,,,,,
"Hogares (025)",7,1,2,,,,,4
"Ocupantes presentes (026)",17,4,5,,,,,8
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",13200,6965,6847,2559,462,2559,915,3547
"Ocupantes presentes (029)",61796,32942,32082,11914,2046,11542,4100,16401
"Casa independiente",,,,,,,,
"Hogares (031)",12663,6728,6586,2479,445,2497,892,3366
"Ocupantes presentes (032)",59974,32136,31173,11642,1979,11309,4018,15798
"Departamento en edificio",,,,,,,,
"Hogares (034)",19,12,14,9,4,8,7,1
"Ocupantes presentes (035)",71,51,53,34,18,31,27,1
"Vivienda en quinta",,,,,,,,
"Hogares (037)",305,142,162,52,10,39,13,92
"Ocupantes presentes (038)",936,434,522,175,35,146,45,268
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",67,32,38,9,1,9,1,20
"Ocupantes presentes (041)",260,126,155,36,8,39,4,72
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",114,43,34,6,1,3,1,54
"Ocupantes presentes (047)",467,168,141,18,5,11,5,222
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",25,7,11,4,1,3,1,10
"Ocupantes presentes (050)",71,23,33,9,1,6,1,32
"Otro tipo",,,,,,,,
"Hogares (052)",7,1,2,,,,,4
"Ocupantes presentes (053)",17,4,5,,,,,8
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",8278,4589,144,139,,37,4,3582
"Ocupantes presentes (056)",41792,23568,674,757,,176,9,17686
"Casa independiente",,,,,,,,
"Hogares (058)",2892,1622,111,67,,32,3,1205
"Ocupantes presentes (059)",14052,7980,502,374,,149,6,5735
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",5381,2963,33,72,,5,1,2376
"Ocupantes presentes (071)",27721,15571,172,383,,27,3,11949
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",5,4,,,,,,1
"Ocupantes presentes (077)",19,17,,,,,,2
"Otro tipo",,,,,,,,
