"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia AIJA",,,,,,,,
"Viviendas particulares (001)",2110,1955,126,9,5,10,,5
"Ocupantes presentes (002)",7955,7405,457,22,18,28,,25
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",1920,1769,123,8,5,10,,5
"Ocupantes presentes (005)",7208,6671,445,21,18,28,,25
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",14,12,2,,,,,
"Ocupantes presentes (014)",76,65,11,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",174,174,,,,,,
"Ocupantes presentes (017)",669,669,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",2,,1,1,,,,
"Ocupantes presentes (023)",2,,1,1,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",723,609,88,8,5,9,,4
"Ocupantes presentes (029)",2488,2106,304,18,18,26,,16
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",707,597,85,7,5,9,,4
"Ocupantes presentes (032)",2410,2041,292,17,18,26,,16
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",14,12,2,,,,,
"Ocupantes presentes (041)",76,65,11,,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",2,,1,1,,,,
"Ocupantes presentes (050)",2,,1,1,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",1387,1346,38,1,,1,,1
"Ocupantes presentes (056)",5467,5299,153,4,,2,,9
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",1213,1172,38,1,,1,,1
"Ocupantes presentes (059)",4798,4630,153,4,,2,,9
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",174,174,,,,,,
"Ocupantes presentes (071)",669,669,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
