"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PAUCARTAMBO (000)",21999,12934,75,176,7947,321,44,46,1,455
"Hombres (001)",8281,6687,51,71,1016,157,27,27,,245
"Mujeres (002)",13718,6247,24,105,6931,164,17,19,1,210
"De 06 a 14 años (003)",11381,10763,,,222,185,1,10,,200
"Hombres (004)",5718,5443,,,79,93,,2,,101
"Mujeres (005)",5663,5320,,,143,92,1,8,,99
"De 15 a 29 años (006)",4915,2124,1,58,2601,,23,10,1,97
"Hombres (007)",1628,1224,1,26,307,,15,7,,48
"Mujeres (008)",3287,900,,32,2294,,8,3,1,49
"De 30 a 44 años (009)",2634,41,5,48,2472,,11,5,,52
"Hombres (010)",312,18,4,15,230,,5,4,,36
"Mujeres (011)",2322,23,1,33,2242,,6,1,,16
"De 45 a 64 años (012)",1878,5,23,38,1734,1,8,7,,62
"Hombres (013)",270,1,14,17,188,,6,6,,38
"Mujeres (014)",1608,4,9,21,1546,1,2,1,,24
"De 65 y más años (015)",1191,1,46,32,918,135,1,14,,44
"Hombres (016)",353,1,32,13,212,64,1,8,,22
"Mujeres (017)",838,,14,19,706,71,,6,,22
,,,,,,,,,,
"AREA URBANA (018)",4127,2447,35,48,1475,28,17,3,1,73
"Hombres (019)",1593,1201,27,15,283,6,11,2,,48
"Mujeres (020)",2534,1246,8,33,1192,22,6,1,1,25
"De 06 a 14 años (021)",1926,1850,,,48,11,,1,,16
"Hombres (022)",935,903,,,21,3,,,,8
"Mujeres (023)",991,947,,,27,8,,1,,8
"De 15 a 29 años (024)",1077,577,,12,459,,6,1,1,21
"Hombres (025)",398,288,,3,84,,4,1,,18
"Mujeres (026)",679,289,,9,375,,2,,1,3
"De 30 a 44 años (027)",527,20,2,15,466,,9,1,,14
"Hombres (028)",95,10,2,4,65,,5,1,,8
"Mujeres (029)",432,10,,11,401,,4,,,6
"De 45 a 64 años (030)",362,,11,11,324,,2,,,14
"Hombres (031)",82,,8,2,60,,2,,,10
"Mujeres (032)",280,,3,9,264,,,,,4
"De 65 y más años (033)",235,,22,10,178,17,,,,8
"Hombres (034)",83,,17,6,53,3,,,,4
"Mujeres (035)",152,,5,4,125,14,,,,4
,,,,,,,,,,
"AREA RURAL (036)",17872,10487,40,128,6472,293,27,43,,382
"Hombres (037)",6688,5486,24,56,733,151,16,25,,197
"Mujeres (038)",11184,5001,16,72,5739,142,11,18,,185
"De 06 a 14 años (039)",9455,8913,,,174,174,1,9,,184
"Hombres (040)",4783,4540,,,58,90,,2,,93
"Mujeres (041)",4672,4373,,,116,84,1,7,,91
"De 15 a 29 años (042)",3838,1547,1,46,2142,,17,9,,76
"Hombres (043)",1230,936,1,23,223,,11,6,,30
"Mujeres (044)",2608,611,,23,1919,,6,3,,46
"De 30 a 44 años (045)",2107,21,3,33,2006,,2,4,,38
"Hombres (046)",217,8,2,11,165,,,3,,28
"Mujeres (047)",1890,13,1,22,1841,,2,1,,10
"De 45 a 64 años (048)",1516,5,12,27,1410,1,6,7,,48
"Hombres (049)",188,1,6,15,128,,4,6,,28
"Mujeres (050)",1328,4,6,12,1282,1,2,1,,20
"De 65 y más años (051)",956,1,24,22,740,118,1,14,,36
"Hombres (052)",270,1,15,7,159,61,1,8,,18
"Mujeres (053)",686,,9,15,581,57,,6,,18
